class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_permalink,has_version_place_of_publication,has_version_publisher,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,depicts_label,language_value,language_label
Book,L'alchimista comedia di m. Bernardino Lombardi,,,L'alchimista comedia di m. Bernardino Lombardi,L'alchimista comedia di m. Bernardino Lombardi.md,NthVjWHpnRAV,431070461157819513048,identifier,https://edit16.iccu.sbn.it/titolo/CNCE058579,,,,,,,,,,,,,,,,,,,,,,,
Book,L'alchimista comedia di m. Bernardino Lombardi,,,L'alchimista comedia di m. Bernardino Lombardi,L'alchimista comedia di m. Bernardino Lombardi.md,NthVjWHpnRAV,431070461157819513048,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011),,,,,,,,,,,,,,,,,,,,,
Book,L'alchimista comedia di m. Bernardino Lombardi,,,L'alchimista comedia di m. Bernardino Lombardi,L'alchimista comedia di m. Bernardino Lombardi.md,NthVjWHpnRAV,431070461157819513048,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T4QqNLwvD5Lj,comedy,,,,,,,,,,,,,,,,,,,
Book,L'alchimista comedia di m. Bernardino Lombardi,,,L'alchimista comedia di m. Bernardino Lombardi,L'alchimista comedia di m. Bernardino Lombardi.md,NthVjWHpnRAV,431070461157819513048,title,,,,,,L'alchimista comedia di m. Bernardino Lombardi comico confidente ..,,,,,,,,,,,,,,,,,,
Book,L'alchimista comedia di m. Bernardino Lombardi,,,L'alchimista comedia di m. Bernardino Lombardi,L'alchimista comedia di m. Bernardino Lombardi.md,NthVjWHpnRAV,431070461157819513048,inception,,,,,,,1583.0,,,,,,,,,,,,,,,,,
Book,L'alchimista comedia di m. Bernardino Lombardi,,,L'alchimista comedia di m. Bernardino Lombardi,L'alchimista comedia di m. Bernardino Lombardi.md,NthVjWHpnRAV,431070461157819513048,has_version,,,,,,,,1583.0,https://edit16.iccu.sbn.it/titolo/CNCE058579,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo', 'label': 'Ferrara'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UWRwVeh9kWAP', 'label': 'Vittorio Baldini'}",https://books.google.it/books?id=9Nd8ShHZkRgC,,,,,,,,,,,,
Book,L'alchimista comedia di m. Bernardino Lombardi,,,L'alchimista comedia di m. Bernardino Lombardi,L'alchimista comedia di m. Bernardino Lombardi.md,NthVjWHpnRAV,431070461157819513048,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jR5hhUB8LvPv,Bernardino Lombardi,,,,,,,,,
Book,L'alchimista comedia di m. Bernardino Lombardi,,,L'alchimista comedia di m. Bernardino Lombardi,L'alchimista comedia di m. Bernardino Lombardi.md,NthVjWHpnRAV,431070461157819513048,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WziXzP4KdMYo,alchemy,,,,,,,
Book,L'alchimista comedia di m. Bernardino Lombardi,,,L'alchimista comedia di m. Bernardino Lombardi,L'alchimista comedia di m. Bernardino Lombardi.md,NthVjWHpnRAV,431070461157819513048,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SrVPa4TA2i3P,satire,,,,,,,
Book,L'alchimista comedia di m. Bernardino Lombardi,,,L'alchimista comedia di m. Bernardino Lombardi,L'alchimista comedia di m. Bernardino Lombardi.md,NthVjWHpnRAV,431070461157819513048,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,,,,,,
Book,L'alchimista comedia di m. Bernardino Lombardi,,,L'alchimista comedia di m. Bernardino Lombardi,L'alchimista comedia di m. Bernardino Lombardi.md,NthVjWHpnRAV,431070461157819513048,based_on,,,,,,,,,,,,,,,,,,,,,,,,
Book,L'alchimista comedia di m. Bernardino Lombardi,,,L'alchimista comedia di m. Bernardino Lombardi,L'alchimista comedia di m. Bernardino Lombardi.md,NthVjWHpnRAV,431070461157819513048,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,,,
Book,L'alchimista comedia di m. Bernardino Lombardi,,,L'alchimista comedia di m. Bernardino Lombardi,L'alchimista comedia di m. Bernardino Lombardi.md,NthVjWHpnRAV,431070461157819513048,has_part,,,,,,,,,,,,,,,,,,,,,,,,
Book,L'alchimista comedia di m. Bernardino Lombardi,,,L'alchimista comedia di m. Bernardino Lombardi,L'alchimista comedia di m. Bernardino Lombardi.md,NthVjWHpnRAV,431070461157819513048,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2QDe7ywPhxhM,alchemist,,
Book,L'alchimista comedia di m. Bernardino Lombardi,,,L'alchimista comedia di m. Bernardino Lombardi,L'alchimista comedia di m. Bernardino Lombardi.md,NthVjWHpnRAV,431070461157819513048,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
