class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,jJ96rJ2QKjkz,851909429252439590510,identifier,http://www.wikidata.org/entity/Q891920,,,,,,,,,,,,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,jJ96rJ2QKjkz,851909429252439590510,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RMrG5qDMi6DF,(Stras 2018),,,,,,,,,,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,jJ96rJ2QKjkz,851909429252439590510,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AGd5KQaFuxjD,(Treadwell 2013),,,,,,,,,,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,jJ96rJ2QKjkz,851909429252439590510,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,jJ96rJ2QKjkz,851909429252439590510,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,jJ96rJ2QKjkz,851909429252439590510,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ut5gfQdSP4WR,Ferrara,,,,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,jJ96rJ2QKjkz,851909429252439590510,member_of,,,,,,,,,,,,,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,jJ96rJ2QKjkz,851909429252439590510,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/84quSACff9vM,patron of the arts,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,jJ96rJ2QKjkz,851909429252439590510,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Gup4VoeXGR57,politician,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,jJ96rJ2QKjkz,851909429252439590510,related_to,,,,,,,,,,,,,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,jJ96rJ2QKjkz,851909429252439590510,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,jJ96rJ2QKjkz,851909429252439590510,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UKmKWTE5GPwm,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AGd5KQaFuxjD', 'label': '(Treadwell 2013)'}]",dance,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,jJ96rJ2QKjkz,851909429252439590510,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4fRE7J9jYy6N,,music making,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,jJ96rJ2QKjkz,851909429252439590510,catalog_identifier,,,,,,,,,,,,,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,jJ96rJ2QKjkz,851909429252439590510,present_in_work,,,,,,,,,,,,,,,,,,,
