class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publisher,has_version_publication_date,has_version_permalink,has_version_external_source,has_version_iiif_manifest,has_version_note,has_version_IIIF_manifest,has_version_holding_institution,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,CobFHSosJoao,222861575843731877676,identifier,https://edit16.iccu.sbn.it/titolo/CNCE045803,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,CobFHSosJoao,222861575843731877676,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/NV21290010,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,CobFHSosJoao,222861575843731877676,identifier,https://rism.online/sources/990066029,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,CobFHSosJoao,222861575843731877676,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,CobFHSosJoao,222861575843731877676,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,CobFHSosJoao,222861575843731877676,title,,,,,,Canzonette di Oratio Vecchi da Modona Libro Primo a quattro voci novamente ristampate,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,CobFHSosJoao,222861575843731877676,inception,,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,CobFHSosJoao,222861575843731877676,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4EaQYo8TMzLM', 'label': 'Angelo Gardano'}",1580.0,https://edit16.iccu.sbn.it/titolo/CNCE045803,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_U/U263/,,,,,,,,,,,,
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,CobFHSosJoao,222861575843731877676,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4EaQYo8TMzLM', 'label': 'Angelo Gardano'}",1580.0,https://edit16.iccu.sbn.it/titolo/CNCE045803,https://www.digitale-sammlungen.de/en/view/bsb00080510,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00080510/manifest,Bassus only.,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00080510/manifest,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hqjifQ4xf6p6', 'label': 'Munich Digitization Center'}",,,,,,,,
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,CobFHSosJoao,222861575843731877676,contributor,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GAKXLkQUx9vm,Orazio Vecchi,,,,,
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,CobFHSosJoao,222861575843731877676,subject,,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,CobFHSosJoao,222861575843731877676,has_part,,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,CobFHSosJoao,222861575843731877676,instrumentation,,,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JQL5yoyTLQcN,bassus
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,CobFHSosJoao,222861575843731877676,instrumentation,,,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VzJ68XN6VVsG,tenor
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,CobFHSosJoao,222861575843731877676,instrumentation,,,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YpD8xTW34ppx,altus
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,CobFHSosJoao,222861575843731877676,instrumentation,,,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/egtVGoqDNy4L,cantus
