class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_IIIF_manifest,has_version_place_of_publication,has_version_external_source,has_version_publication_date,has_version_holding_institution,has_version_publisher,has_version_permalink,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,based_on_value,catalog_identifier_value,has_part_value,depicts_value,language_value,language_label
Book,"Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori",,,"Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori","Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori.md",62z5vYwsqBgR,82899718445122770044,identifier,https://edit16.iccu.sbn.it/titolo/CNCE009207,,,,,,,,,,,,,,,,,,,,,,,
Book,"Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori",,,"Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori","Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori.md",62z5vYwsqBgR,82899718445122770044,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
Book,"Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori",,,"Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori","Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori.md",62z5vYwsqBgR,82899718445122770044,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,,,,,
Book,"Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori",,,"Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori","Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori.md",62z5vYwsqBgR,82899718445122770044,title,,,,,"Rime piaceuoli di Cesare Caporali, del Mauro, et d'altri auttori. Accresciute in questa quarta impressione di molte rime graui, & burlesche del sig. Torq. Tasso e di diuersi nobiliss. ingegni",,,,,,,,,,,,,,,,,,,
Book,"Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori",,,"Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori","Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori.md",62z5vYwsqBgR,82899718445122770044,inception,,,,,,1586.0,,,,,,,,,,,,,,,,,,
Book,"Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori",,,"Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori","Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori.md",62z5vYwsqBgR,82899718445122770044,has_version,,,,,,,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10189765/manifest,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo', 'label': 'Ferrara'}]",https://www.digitale-sammlungen.de/en/view/bsb10189765,1590.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jFBX7Vi5QibB', 'label': 'Benedetto Mamarello'}",https://edit16.iccu.sbn.it/titolo/CNCE009212,Reprint,,,,,,,,,,
Book,"Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori",,,"Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori","Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori.md",62z5vYwsqBgR,82899718445122770044,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo', 'label': 'Ferrara'}]",,1586.0,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UWRwVeh9kWAP', 'label': 'Vittorio Baldini'}",https://edit16.iccu.sbn.it/titolo/CNCE009207,,,,,,,,,,,
Book,"Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori",,,"Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori","Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori.md",62z5vYwsqBgR,82899718445122770044,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7Y969p9irXR5,Cesare Caporali,,,,,,,
Book,"Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori",,,"Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori","Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori.md",62z5vYwsqBgR,82899718445122770044,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ke7Y8iiuR8Rg,Isabella Andreini,,,,,,,
Book,"Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori",,,"Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori","Rime piacevoli Cesare Caporali, del Mauro, et d'altri autori.md",62z5vYwsqBgR,82899718445122770044,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cDXocHJozvQ7,Filippo Alberti,,,,,,,
