class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publisher,has_version_place_of_publication,has_version_publication_date,has_version_external_source,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_value
NotatedMusic,Di Luca Marenzio il nono libro de madrigali a cinque voci,,,Di Luca Marenzio il nono libro de madrigali a cinque voci,Di Luca Marenzio il nono libro de madrigali a cinque voci.md,68B6ZFB4xtRJ,84773469488262064717,identifier,https://edit16.iccu.sbn.it/titolo/CNCE046254,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Luca Marenzio il nono libro de madrigali a cinque voci,,,Di Luca Marenzio il nono libro de madrigali a cinque voci,Di Luca Marenzio il nono libro de madrigali a cinque voci.md,68B6ZFB4xtRJ,84773469488262064717,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV12410010,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Luca Marenzio il nono libro de madrigali a cinque voci,,,Di Luca Marenzio il nono libro de madrigali a cinque voci,Di Luca Marenzio il nono libro de madrigali a cinque voci.md,68B6ZFB4xtRJ,84773469488262064717,identifier,https://rism.online/sources/990039310,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Luca Marenzio il nono libro de madrigali a cinque voci,,,Di Luca Marenzio il nono libro de madrigali a cinque voci,Di Luca Marenzio il nono libro de madrigali a cinque voci.md,68B6ZFB4xtRJ,84773469488262064717,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,
NotatedMusic,Di Luca Marenzio il nono libro de madrigali a cinque voci,,,Di Luca Marenzio il nono libro de madrigali a cinque voci,Di Luca Marenzio il nono libro de madrigali a cinque voci.md,68B6ZFB4xtRJ,84773469488262064717,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NoVukKRyZHC2,(Refini 2025),,,,,,,,,,,,,,,,
NotatedMusic,Di Luca Marenzio il nono libro de madrigali a cinque voci,,,Di Luca Marenzio il nono libro de madrigali a cinque voci,Di Luca Marenzio il nono libro de madrigali a cinque voci.md,68B6ZFB4xtRJ,84773469488262064717,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,
NotatedMusic,Di Luca Marenzio il nono libro de madrigali a cinque voci,,,Di Luca Marenzio il nono libro de madrigali a cinque voci,Di Luca Marenzio il nono libro de madrigali a cinque voci.md,68B6ZFB4xtRJ,84773469488262064717,title,,,,,,"Di Luca Marenzio il nono libro de madrigali a cinque voci nouamente composto, & dato in luce",,,,,,,,,,,,,
NotatedMusic,Di Luca Marenzio il nono libro de madrigali a cinque voci,,,Di Luca Marenzio il nono libro de madrigali a cinque voci,Di Luca Marenzio il nono libro de madrigali a cinque voci.md,68B6ZFB4xtRJ,84773469488262064717,inception,,,,,,,1599.0,,,,,,,,,,,,
NotatedMusic,Di Luca Marenzio il nono libro de madrigali a cinque voci,,,Di Luca Marenzio il nono libro de madrigali a cinque voci,Di Luca Marenzio il nono libro de madrigali a cinque voci.md,68B6ZFB4xtRJ,84773469488262064717,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE046254,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ah3xiLm7tVeM', 'label': 'Angelo Gardano'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1599.0,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_T/T029/,Quintus is from the 1601 edition.,,,,,,
NotatedMusic,Di Luca Marenzio il nono libro de madrigali a cinque voci,,,Di Luca Marenzio il nono libro de madrigali a cinque voci,Di Luca Marenzio il nono libro de madrigali a cinque voci.md,68B6ZFB4xtRJ,84773469488262064717,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UE5wVYcJfR6n,Luca Marenzio,,,
NotatedMusic,Di Luca Marenzio il nono libro de madrigali a cinque voci,,,Di Luca Marenzio il nono libro de madrigali a cinque voci,Di Luca Marenzio il nono libro de madrigali a cinque voci.md,68B6ZFB4xtRJ,84773469488262064717,subject,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Luca Marenzio il nono libro de madrigali a cinque voci,,,Di Luca Marenzio il nono libro de madrigali a cinque voci,Di Luca Marenzio il nono libro de madrigali a cinque voci.md,68B6ZFB4xtRJ,84773469488262064717,has_part,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Luca Marenzio il nono libro de madrigali a cinque voci,,,Di Luca Marenzio il nono libro de madrigali a cinque voci,Di Luca Marenzio il nono libro de madrigali a cinque voci.md,68B6ZFB4xtRJ,84773469488262064717,instrumentation,,,,,,,,,,,,,,,,,,,
