class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publication_date,has_version_permalink,has_version_publisher,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,Rg48ktvfYvix,488396419486401097650,identifier,https://edit16.iccu.sbn.it/titolo/CNCE043313,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,Rg48ktvfYvix,488396419486401097650,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV07290010,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,Rg48ktvfYvix,488396419486401097650,identifier,https://rism.online/sources/993104404,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,Rg48ktvfYvix,488396419486401097650,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,Rg48ktvfYvix,488396419486401097650,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,Rg48ktvfYvix,488396419486401097650,title,,,,,,Dialogo della musica di m. Antonfrancesco Doni fiorentino,,,,,,,,,,,,,,,
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,Rg48ktvfYvix,488396419486401097650,inception,,,,,,,1544.0,,,,,,,,,,,,,,
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,Rg48ktvfYvix,488396419486401097650,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1544.0,https://edit16.iccu.sbn.it/titolo/CNCE043313,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EaDmr6ppAvfM', 'label': 'Girolamo Scotto'}",http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_B/B149/,,,,,,,,,
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,Rg48ktvfYvix,488396419486401097650,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nUaTBnnW6oqF,Claudio Veggio,,,,,,
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,Rg48ktvfYvix,488396419486401097650,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJzQoB8QSGjd', 'label': 'editor'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BarcvHNHhyjC,Anton Francesco Doni,,,,,,
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,Rg48ktvfYvix,488396419486401097650,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BgmxnNpBupRa,dialogue,,,,
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,Rg48ktvfYvix,488396419486401097650,has_part,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,Rg48ktvfYvix,488396419486401097650,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6xVaVEAi3tdM,cantus
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,Rg48ktvfYvix,488396419486401097650,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UffZZ8mohzzQ,altus
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,Rg48ktvfYvix,488396419486401097650,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5uHH8y5Q43eU,tenor
NotatedMusic,Dialogo della musica di m. Anton Francesco Doni,,,Dialogo della musica di m. Anton Francesco Doni,Dialogo della musica di m. Anton Francesco Doni.md,Rg48ktvfYvix,488396419486401097650,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kSRFAFQb4mfa,bassus
