class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publisher,has_version_publication_date,has_version_place_of_publication,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,,,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena.md,e8SDEpWbRabL,745218281999546222526,identifier,http://id.sbn.it/bid/MUS0151812,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,,,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena.md,e8SDEpWbRabL,745218281999546222526,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV06240010,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,,,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena.md,e8SDEpWbRabL,745218281999546222526,identifier,https://rism.online/sources/990012715,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,,,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena.md,e8SDEpWbRabL,745218281999546222526,identifier,https://musicare.beniculturali.unipd.it/database/editions/004544.html,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,,,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena.md,e8SDEpWbRabL,745218281999546222526,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,
NotatedMusic,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,,,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena.md,e8SDEpWbRabL,745218281999546222526,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dRXM2UxsVRJj,Musicare DB,,,,,,,,,,,,,,,,,
NotatedMusic,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,,,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena.md,e8SDEpWbRabL,745218281999546222526,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,,,
NotatedMusic,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,,,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena.md,e8SDEpWbRabL,745218281999546222526,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gFBshLVTMG7b,incomplete,,,,,,,,,,,,,,,
NotatedMusic,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,,,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena.md,e8SDEpWbRabL,745218281999546222526,title,,,,,,Il Secondo libro de Madrigali a cinque voci di Giovan Battista dalla Gostena novamente dato in luce da Simone Molinaro,,,,,,,,,,,,,,
NotatedMusic,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,,,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena.md,e8SDEpWbRabL,745218281999546222526,inception,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,,,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena.md,e8SDEpWbRabL,745218281999546222526,has_version,,,,,,,,http://id.sbn.it/bid/MUS0151812,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4EaQYo8TMzLM', 'label': 'Angelo Gardano'}",1595.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",Only cantus and altus survive.,,,,,,,,
NotatedMusic,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,,,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena.md,e8SDEpWbRabL,745218281999546222526,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/foztQhGD2tdt,Giovanni Battista Dalla Gostena,,,,,
NotatedMusic,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,,,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena.md,e8SDEpWbRabL,745218281999546222526,subject,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,,,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena.md,e8SDEpWbRabL,745218281999546222526,has_part,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,,,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena.md,e8SDEpWbRabL,745218281999546222526,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGvRViUmPajp,quintus
NotatedMusic,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,,,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena.md,e8SDEpWbRabL,745218281999546222526,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JQL5yoyTLQcN,bassus
NotatedMusic,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,,,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena.md,e8SDEpWbRabL,745218281999546222526,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VzJ68XN6VVsG,tenor
NotatedMusic,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,,,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena.md,e8SDEpWbRabL,745218281999546222526,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YpD8xTW34ppx,altus
NotatedMusic,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,,,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena,Il Secondo Libro de Madrigali a cinque voci di Giovan Battista Dalla Gostena.md,e8SDEpWbRabL,745218281999546222526,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/egtVGoqDNy4L,cantus
