class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_reference,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,['Giovanni Dragoni'],Giovanni Andrea Dragoni,Giovanni Andrea Dragoni.md,Giovanni Andrea Dragoni,be2NbowfgNmj,694020191073247521791,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,
Agent,['Giovanni Dragoni'],Giovanni Andrea Dragoni,Giovanni Andrea Dragoni.md,Giovanni Andrea Dragoni,be2NbowfgNmj,694020191073247521791,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,
Agent,['Giovanni Dragoni'],Giovanni Andrea Dragoni,Giovanni Andrea Dragoni.md,Giovanni Andrea Dragoni,be2NbowfgNmj,694020191073247521791,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv', 'label': 'RePIM'}]",Venezia,,,,,,,,,,
Agent,['Giovanni Dragoni'],Giovanni Andrea Dragoni,Giovanni Andrea Dragoni.md,Giovanni Andrea Dragoni,be2NbowfgNmj,694020191073247521791,member_of,,,,,,,,,,,,,,,,,
Agent,['Giovanni Dragoni'],Giovanni Andrea Dragoni,Giovanni Andrea Dragoni.md,Giovanni Andrea Dragoni,be2NbowfgNmj,694020191073247521791,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ,composer,,,,,,,
Agent,['Giovanni Dragoni'],Giovanni Andrea Dragoni,Giovanni Andrea Dragoni.md,Giovanni Andrea Dragoni,be2NbowfgNmj,694020191073247521791,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZQfYWvfzAbEi,Arcangelo Crivelli,,,,,
Agent,['Giovanni Dragoni'],Giovanni Andrea Dragoni,Giovanni Andrea Dragoni.md,Giovanni Andrea Dragoni,be2NbowfgNmj,694020191073247521791,notable_work,,,,,,,,,,,,,,,,,
Agent,['Giovanni Dragoni'],Giovanni Andrea Dragoni,Giovanni Andrea Dragoni.md,Giovanni Andrea Dragoni,be2NbowfgNmj,694020191073247521791,interested_in,,,,,,,,,,,,,,,,,
Agent,['Giovanni Dragoni'],Giovanni Andrea Dragoni,Giovanni Andrea Dragoni.md,Giovanni Andrea Dragoni,be2NbowfgNmj,694020191073247521791,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,['Giovanni Dragoni'],Giovanni Andrea Dragoni,Giovanni Andrea Dragoni.md,Giovanni Andrea Dragoni,be2NbowfgNmj,694020191073247521791,present_in_work,,,,,,,,,,,,,,,,,
Agent,['Giovanni Dragoni'],Giovanni Andrea Dragoni,Giovanni Andrea Dragoni.md,Giovanni Andrea Dragoni,be2NbowfgNmj,694020191073247521791,identifier,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q713237
