class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value,described_by_source_value,described_by_source_label
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",KFFUoHTxPi54,355602286154622358370,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",KFFUoHTxPi54,355602286154622358370,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3YLGgR7kasRh,Pietro Aretino,,,,,,,,,,,,,,,,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",KFFUoHTxPi54,355602286154622358370,part_of,,,,,,"Canto I, 3",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DKcYbAWT5iHU,Astolfeide del divino Pietro Aretino,,,,,,,,,,,,,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",KFFUoHTxPi54,355602286154622358370,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",KFFUoHTxPi54,355602286154622358370,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",KFFUoHTxPi54,355602286154622358370,subject,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YtNYvYPNHggc,satire,,,,,,,,,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",KFFUoHTxPi54,355602286154622358370,poetic_type,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QKnFCoKHDFvG,ottava rima,,,,,,,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",KFFUoHTxPi54,355602286154622358370,metre,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",KFFUoHTxPi54,355602286154622358370,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",KFFUoHTxPi54,355602286154622358370,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Tp8Vv7L76ygP,historian,,,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",KFFUoHTxPi54,355602286154622358370,language,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",KFFUoHTxPi54,355602286154622358370,text,,,,,,,,,,,,,,,,,,,,,"Falsi i Poeti, & l'Historici vani 
Di Troia, & Tebe di sparta, & Tessaglia 
Son presso a l'opra ov'io caccio le mani 
A dir de' Paladin, sel ver mi vaglia
Son le buggie un Abbaiar de cani. 
Io in pace dirò più che in battaglia
De' Cronichisti mendaci al dispetto 
De' Paladin di Francia il vero schietto.",,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",KFFUoHTxPi54,355602286154622358370,described_by_source,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3bt2ieeAeUgg,(Selepiuc 2020)
