class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_IIIF_manifest,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value
Book,"Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti",,,"Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti","Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti.md",K2FLUmMBN9Ho,350894925225588564360,identifier,https://edit16.iccu.sbn.it/titolo/CNCE024636,,,,,,,,,,,,,,,,,,,,
Book,"Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti",,,"Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti","Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti.md",K2FLUmMBN9Ho,350894925225588564360,described_by_source,,,,,,,,,,,,,,,,,,,,,
Book,"Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti",,,"Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti","Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti.md",K2FLUmMBN9Ho,350894925225588564360,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,,
Book,"Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti",,,"Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti","Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti.md",K2FLUmMBN9Ho,350894925225588564360,title,,,,,"Academia di enigmi in sonetti di madonna Daphne di Piazza a gli academici fiorentini suoi amanti. Cosa ingeniosa argutta et bella da eccitar gli acuti et eleuati ingegni, et di notabile piacere, non piu ueduta",,,,,,,,,,,,,,,,
Book,"Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti",,,"Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti","Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti.md",K2FLUmMBN9Ho,350894925225588564360,inception,,,,,,1552.0,,,,,,,,,,,,,,,
Book,"Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti",,,"Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti","Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti.md",K2FLUmMBN9Ho,350894925225588564360,has_version,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE024636,1552.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/b7CUVDNtd6Nx', 'label': 'Stefano de Alessi'}",https://dl.unito.it/fedora/objects/mag:32681/datastreams/MMIIIF/content,https://dl.unito.it/it/ricerca/digitale/?id=mag:32681,,,,,,,,,
Book,"Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti",,,"Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti","Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti.md",K2FLUmMBN9Ho,350894925225588564360,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Toq3FPHGLEDw', 'label': 'Dafne di Piazza'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ,author,,,,,,
Book,"Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti",,,"Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti","Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti.md",K2FLUmMBN9Ho,350894925225588564360,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BL66bhcML892,riddle,,,,
Book,"Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti",,,"Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti","Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti.md",K2FLUmMBN9Ho,350894925225588564360,based_on,,,,,,,,,,,,,,,,,,,,,
Book,"Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti",,,"Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti","Accademia di enigmi in sonetti di Madonna Dafne di Piazza, a gli academici fiorentini suoi amanti.md",K2FLUmMBN9Ho,350894925225588564360,catalog_identifier,,,,,,,,,,,,,,,,,,,,,
