class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label
Organisation,Orsini family,,,Orsini family,Orsini family.md,UZTP8cXGpgdF,547917569968530076822,identifier,http://www.wikidata.org/entity/Q138758286,,,,
Organisation,Orsini family,,,Orsini family,Orsini family.md,UZTP8cXGpgdF,547917569968530076822,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VrEW7dXepBZR,(Nocerino 2014),,
Organisation,Orsini family,,,Orsini family,Orsini family.md,UZTP8cXGpgdF,547917569968530076822,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/22qpxCwj4NSZ,family
