class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,NeS3RcvBAdPp,425903790469496575573,identifier,http://www.wikidata.org/entity/Q3560663,,,,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,NeS3RcvBAdPp,425903790469496575573,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/63jQYzzS6XDM,(Wilbourne 2007),,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,NeS3RcvBAdPp,425903790469496575573,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8Vm4BBvDPzWd,(Besutti 2019),,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,NeS3RcvBAdPp,425903790469496575573,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/edT3Fqg7R5MU,(Wilbourne 2016),,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,NeS3RcvBAdPp,425903790469496575573,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx,(Cox 2020),,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,NeS3RcvBAdPp,425903790469496575573,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,NeS3RcvBAdPp,425903790469496575573,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,NeS3RcvBAdPp,425903790469496575573,work_location,,,,,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,NeS3RcvBAdPp,425903790469496575573,member_of,,,,,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,NeS3RcvBAdPp,425903790469496575573,occupation,,,,,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,NeS3RcvBAdPp,425903790469496575573,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/42GCM56c4NvH,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}]",Accademia degli Spensierati di Firenze,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,NeS3RcvBAdPp,425903790469496575573,notable_work,,,,,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,NeS3RcvBAdPp,425903790469496575573,interested_in,,,,,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,NeS3RcvBAdPp,425903790469496575573,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Virginia Ramponi-Andreini,,"['La Florinda', 'Virginia Andreini']",Virginia Ramponi-Andreini,Virginia Ramponi-Andreini.md,NeS3RcvBAdPp,425903790469496575573,present_in_work,,,,,,,,,,,,,,,,,
