class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_role,member_of_label,occupation_value,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Claudio Tolomei,,,Claudio Tolomei,Claudio Tolomei.md,8jYaJTW8GF9y,138852907692362875417,identifier,http://www.wikidata.org/entity/Q936722,,,,,,,,,,,,,,,,,,
Agent,Claudio Tolomei,,,Claudio Tolomei,Claudio Tolomei.md,8jYaJTW8GF9y,138852907692362875417,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5ZmX4c5h8CRb,(Moroncini 2017),,,,,,,,,,,,,,,,
Agent,Claudio Tolomei,,,Claudio Tolomei,Claudio Tolomei.md,8jYaJTW8GF9y,138852907692362875417,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Claudio Tolomei,,,Claudio Tolomei,Claudio Tolomei.md,8jYaJTW8GF9y,138852907692362875417,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Claudio Tolomei,,,Claudio Tolomei,Claudio Tolomei.md,8jYaJTW8GF9y,138852907692362875417,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG,Roma,,,,,,,,,,
Agent,Claudio Tolomei,,,Claudio Tolomei,Claudio Tolomei.md,8jYaJTW8GF9y,138852907692362875417,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aTk9hoymKNbk,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QJd3XfmEAuxc', 'label': 'founder'}",Accademia delle Virtù,,,,,,,
Agent,Claudio Tolomei,,,Claudio Tolomei,Claudio Tolomei.md,8jYaJTW8GF9y,138852907692362875417,occupation,,,,,,,,,,,,,,,,,,,
Agent,Claudio Tolomei,,,Claudio Tolomei,Claudio Tolomei.md,8jYaJTW8GF9y,138852907692362875417,related_to,,,,,,,,,,,,,,,,,,,
Agent,Claudio Tolomei,,,Claudio Tolomei,Claudio Tolomei.md,8jYaJTW8GF9y,138852907692362875417,notable_work,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZmSZgCRibsLx,Giuoco delle Virtù,,,
Agent,Claudio Tolomei,,,Claudio Tolomei,Claudio Tolomei.md,8jYaJTW8GF9y,138852907692362875417,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Claudio Tolomei,,,Claudio Tolomei,Claudio Tolomei.md,8jYaJTW8GF9y,138852907692362875417,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",7551.0
