class,aliases,base_name,filename,label,id,n_id,property,part_of_value,part_of_label,citation_value,isbn_value,identifier_value
BibliographicResource,['sacchiniFrancescoPetrarcaGiovan2020'],(Sacchini 2020),(Sacchini 2020).md,(Sacchini 2020),S2kSCsCknAf3,495531054370893343387,part_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VzDB9FgKgMET,"(Everson, Reidy, and Sampson 2020)",,,
BibliographicResource,['sacchiniFrancescoPetrarcaGiovan2020'],(Sacchini 2020),(Sacchini 2020).md,(Sacchini 2020),S2kSCsCknAf3,495531054370893343387,citation,,,"Sacchini, Lorenzo. 2020. ‘Da Francesco Petrarca a Giovan Battista Marino: L’Accademia Degli Insensati Di Perugia (1561–1608)’. In _The Italian Academies 1525-1700: Networks of Culture, Innovation and Dissent_, edited by Jane E. Everson, Denis V. Reidy, and Lisa Sampson, 245–57. Italian Perspectives 31. London New York: Routledge, Taylor & Francis Group.",,
BibliographicResource,['sacchiniFrancescoPetrarcaGiovan2020'],(Sacchini 2020),(Sacchini 2020).md,(Sacchini 2020),S2kSCsCknAf3,495531054370893343387,isbn,,,,978-0-367-59848-8,
BibliographicResource,['sacchiniFrancescoPetrarcaGiovan2020'],(Sacchini 2020),(Sacchini 2020).md,(Sacchini 2020),S2kSCsCknAf3,495531054370893343387,identifier,,,,,
