class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value,language_value,subject_value,poetic_type_value,depicts_value,metre_value
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),etnJpzTZJitc,761275401776194462132,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),etnJpzTZJitc,761275401776194462132,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hur8pveC6EXe,Vittoria Aleotti,,,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),etnJpzTZJitc,761275401776194462132,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/52JsT9MZeipF,Annibale Pocaterra,,,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),etnJpzTZJitc,761275401776194462132,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AuGsxhMWWjgK,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),etnJpzTZJitc,761275401776194462132,instrumentation,,,,,,,,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),etnJpzTZJitc,761275401776194462132,based_on,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VSmfzQmG5vCW,Dicesti anima mia,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),etnJpzTZJitc,761275401776194462132,derivative_work,,,,,,,,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),etnJpzTZJitc,761275401776194462132,text,,,,,,,,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),etnJpzTZJitc,761275401776194462132,language,,,,,,,,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),etnJpzTZJitc,761275401776194462132,subject,,,,,,,,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),etnJpzTZJitc,761275401776194462132,poetic_type,,,,,,,,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),etnJpzTZJitc,761275401776194462132,depicts,,,,,,,,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),etnJpzTZJitc,761275401776194462132,metre,,,,,,,,,,,,,,,,,
