class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Bench'a tanti martir mi fai suggetto,,,Bench'a tanti martir mi fai suggetto,Bench'a tanti martir mi fai suggetto.md,L5FPZbYsS2Uw,372617268839037940109,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Bench'a tanti martir mi fai suggetto,,,Bench'a tanti martir mi fai suggetto,Bench'a tanti martir mi fai suggetto.md,L5FPZbYsS2Uw,372617268839037940109,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Bench'a tanti martir mi fai suggetto,,,Bench'a tanti martir mi fai suggetto,Bench'a tanti martir mi fai suggetto.md,L5FPZbYsS2Uw,372617268839037940109,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Bench'a tanti martir mi fai suggetto,,,Bench'a tanti martir mi fai suggetto,Bench'a tanti martir mi fai suggetto.md,L5FPZbYsS2Uw,372617268839037940109,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2brEqdcLsYfo,Giordano Bruno,,,,,,,,,,,,,,,,
PoeticWork,Bench'a tanti martir mi fai suggetto,,,Bench'a tanti martir mi fai suggetto,Bench'a tanti martir mi fai suggetto.md,L5FPZbYsS2Uw,372617268839037940109,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NaH87wQeSvh2,Dialogo Terzo.,De gli eroici furori,,,,,,,,,,,,,
PoeticWork,Bench'a tanti martir mi fai suggetto,,,Bench'a tanti martir mi fai suggetto,Bench'a tanti martir mi fai suggetto.md,L5FPZbYsS2Uw,372617268839037940109,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Bench'a tanti martir mi fai suggetto,,,Bench'a tanti martir mi fai suggetto,Bench'a tanti martir mi fai suggetto.md,L5FPZbYsS2Uw,372617268839037940109,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Bench'a tanti martir mi fai suggetto,,,Bench'a tanti martir mi fai suggetto,Bench'a tanti martir mi fai suggetto.md,L5FPZbYsS2Uw,372617268839037940109,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T5kQoJ6RQuQc,oxymoron,,,,,,,,,
PoeticWork,Bench'a tanti martir mi fai suggetto,,,Bench'a tanti martir mi fai suggetto,Bench'a tanti martir mi fai suggetto.md,L5FPZbYsS2Uw,372617268839037940109,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,,
PoeticWork,Bench'a tanti martir mi fai suggetto,,,Bench'a tanti martir mi fai suggetto,Bench'a tanti martir mi fai suggetto.md,L5FPZbYsS2Uw,372617268839037940109,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,Bench'a tanti martir mi fai suggetto,,,Bench'a tanti martir mi fai suggetto,Bench'a tanti martir mi fai suggetto.md,L5FPZbYsS2Uw,372617268839037940109,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Bench'a tanti martir mi fai suggetto,,,Bench'a tanti martir mi fai suggetto,Bench'a tanti martir mi fai suggetto.md,L5FPZbYsS2Uw,372617268839037940109,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,Bench'a tanti martir mi fai suggetto,,,Bench'a tanti martir mi fai suggetto,Bench'a tanti martir mi fai suggetto.md,L5FPZbYsS2Uw,372617268839037940109,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ACTN7uuqiNiD,torment,,,
