class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_sourcing_circumstances,inception_value,has_version_permalink,has_version_publisher,has_version_place_of_publication,has_version_external_source,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value
Book,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina",,,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina","La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina.md",ZaTzczedg7Mk,651463058281783473729,identifier,https://edit16.iccu.sbn.it/titolo/CNCE014326,,,,,,,,,,,,,,,,,
Book,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina",,,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina","La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina.md",ZaTzczedg7Mk,651463058281783473729,described_by_source,,,,,,,,,,,,,,,,,,
Book,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina",,,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina","La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina.md",ZaTzczedg7Mk,651463058281783473729,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TxUhBPCn3SQb,drama,,,,,,,,,,,,,,
Book,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina",,,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina","La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina.md",ZaTzczedg7Mk,651463058281783473729,title,,,,,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina. ... Di Giulio Ces. Croce",,,,,,,,,,,,,
Book,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina",,,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina","La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina.md",ZaTzczedg7Mk,651463058281783473729,inception,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QWmtzgCRQ9wY', 'label': 'circa'}",1585.0,,,,,,,,,,,
Book,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina",,,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina","La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina.md",ZaTzczedg7Mk,651463058281783473729,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE014326,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZeQ7gLhjHjkc', 'label': 'Fausto Bonardo'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NAvcJHrBT6mr', 'label': 'Bologna'}]",http://badigit.comune.bologna.it/croce/sfoglia.aspx?Num_Lib=551,,,,,,,
Book,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina",,,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina","La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina.md",ZaTzczedg7Mk,651463058281783473729,contributor,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfF8tq3cpZ9P,Giulio Cesare Croce,,,,,
Book,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina",,,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina","La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina.md",ZaTzczedg7Mk,651463058281783473729,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,,
Book,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina",,,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina","La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina.md",ZaTzczedg7Mk,651463058281783473729,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ekDAyv7WiddR,Giovanni Pellesini,,,
Book,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina",,,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina","La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina.md",ZaTzczedg7Mk,651463058281783473729,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bno4K4k5MDJK,Dottor Graziano,,,
