class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_reference,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Torquato Perotti,Torquato Perotti.md,Torquato Perotti,S9AkgUiq5JF6,497851397675844036316,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,
Agent,Torquato Perotti,Torquato Perotti.md,Torquato Perotti,S9AkgUiq5JF6,497851397675844036316,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,,
Agent,Torquato Perotti,Torquato Perotti.md,Torquato Perotti,S9AkgUiq5JF6,497851397675844036316,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG,Roma,,,,,,,,,,,,,
Agent,Torquato Perotti,Torquato Perotti.md,Torquato Perotti,S9AkgUiq5JF6,497851397675844036316,member_of,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PE5uAEyVKtpe,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JjLg2AKb7hoK', 'label': '(Teza 2017)'}]",Accademia degli Umoristi di Roma,,,,,,,,,,
Agent,Torquato Perotti,Torquato Perotti.md,Torquato Perotti,S9AkgUiq5JF6,497851397675844036316,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JjLg2AKb7hoK', 'label': '(Teza 2017)'}]",poet,,,,,,,
Agent,Torquato Perotti,Torquato Perotti.md,Torquato Perotti,S9AkgUiq5JF6,497851397675844036316,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/28LwdsHRy7RZ,,bishop,,,,,,,
Agent,Torquato Perotti,Torquato Perotti.md,Torquato Perotti,S9AkgUiq5JF6,497851397675844036316,related_to,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PY53AmNeqYZX,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PisMNabZrMmn', 'label': 'student'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JjLg2AKb7hoK', 'label': '(Teza 2017)'}]",Marco Antonio Bonciari,,,
Agent,Torquato Perotti,Torquato Perotti.md,Torquato Perotti,S9AkgUiq5JF6,497851397675844036316,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Torquato Perotti,Torquato Perotti.md,Torquato Perotti,S9AkgUiq5JF6,497851397675844036316,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Torquato Perotti,Torquato Perotti.md,Torquato Perotti,S9AkgUiq5JF6,497851397675844036316,catalog_identifier,,,,,,,,,,,,,,,,,,,
