class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_source,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,is9c9HsiN7UB,843223892016767248869,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,,,,
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,is9c9HsiN7UB,843223892016767248869,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,,,,,
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,is9c9HsiN7UB,843223892016767248869,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bpRYamR8DUKq,Napoli,,,,,,,,,,,,,,,
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,is9c9HsiN7UB,843223892016767248869,member_of,,,,,,,,,,,,,,,,,,,,,
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,is9c9HsiN7UB,843223892016767248869,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,,,,,,,
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,is9c9HsiN7UB,843223892016767248869,related_to,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Uj7uWMw9v9H7,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nEyUNwKcZNxU', 'label': 'friend'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e', 'label': '(Faini 2020)'}]",Teofilo Folengo,,,,,,,,
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,is9c9HsiN7UB,843223892016767248869,notable_work,,,,,,,,,,,,,,,,,,,,,
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,is9c9HsiN7UB,843223892016767248869,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cHFtXs5kBskb,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e', 'label': '(Faini 2020)'}]",humanitarians,,,,
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,is9c9HsiN7UB,843223892016767248869,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",17763.0,,
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,is9c9HsiN7UB,843223892016767248869,present_in_work,,,,,,,,,,,,,,,,,,,,,
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,is9c9HsiN7UB,843223892016767248869,identifier,,,,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q2260338
