class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",3i7Q5kbgQ2N4,35151449227956140804,identifier,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",3i7Q5kbgQ2N4,35151449227956140804,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B8k36QrtTQLU,Progetto Lyra,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",3i7Q5kbgQ2N4,35151449227956140804,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx,(Cox 2020),,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",3i7Q5kbgQ2N4,35151449227956140804,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",3i7Q5kbgQ2N4,35151449227956140804,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ivYChgZ7D5aD,Maria Diamante Dolfi,,,,,,,,,,,,,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",3i7Q5kbgQ2N4,35151449227956140804,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KsqUZ8dKXxDW,Di Mad. Diamante Dolfi.,42.0,"Rime diverse d'alcune nobilissime, et virtuosissime donne",,,,,,,,,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",3i7Q5kbgQ2N4,35151449227956140804,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",3i7Q5kbgQ2N4,35151449227956140804,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",3i7Q5kbgQ2N4,35151449227956140804,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",3i7Q5kbgQ2N4,35151449227956140804,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",3i7Q5kbgQ2N4,35151449227956140804,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",3i7Q5kbgQ2N4,35151449227956140804,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Af5NyLo5WJPc,woman,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",3i7Q5kbgQ2N4,35151449227956140804,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cw9SB9nEpgGt,river,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",3i7Q5kbgQ2N4,35151449227956140804,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
