class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,mCdeuCw5xiQY,891190441408171941843,identifier,http://www.wikidata.org/entity/Q3634683,,,,,,,,,,,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,mCdeuCw5xiQY,891190441408171941843,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,mCdeuCw5xiQY,891190441408171941843,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,mCdeuCw5xiQY,891190441408171941843,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,mCdeuCw5xiQY,891190441408171941843,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW,Firenze,,,,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,mCdeuCw5xiQY,891190441408171941843,member_of,,,,,,,,,,,,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,mCdeuCw5xiQY,891190441408171941843,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bKuQkt4rpM43,courtesan,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,mCdeuCw5xiQY,891190441408171941843,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bRregcw3FA5L,singer,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,mCdeuCw5xiQY,891190441408171941843,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eARmqFGFiTGN,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T6XPucm6p3fb', 'label': '(Brown 2020)'}]",Niccolò Machiavelli,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,mCdeuCw5xiQY,891190441408171941843,notable_work,,,,,,,,,,,,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,mCdeuCw5xiQY,891190441408171941843,interested_in,,,,,,,,,,,,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,mCdeuCw5xiQY,891190441408171941843,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Barbara Raffacani Salutati,,['Barbara Salutati'],Barbara Raffacani Salutati,Barbara Raffacani Salutati.md,mCdeuCw5xiQY,891190441408171941843,present_in_work,,,,,,,,,,,,,,,,,,
