class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,subclass_of_value,subclass_of_label
Concept,editor,,,editor,editor.md,FJzQoB8QSGjd,274417453506726742487,identifier,http://www.wikidata.org/entity/Q1607826,,,,,
Concept,editor,,,editor,editor.md,FJzQoB8QSGjd,274417453506726742487,described_by_source,,,,,,
Concept,editor,,,editor,editor.md,FJzQoB8QSGjd,274417453506726742487,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Et64EF5pK79G,occupation,,
Concept,editor,,,editor,editor.md,FJzQoB8QSGjd,274417453506726742487,subclass_of,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ,author
