class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,ZQfYWvfzAbEi,647916033486841412602,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,ZQfYWvfzAbEi,647916033486841412602,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,ZQfYWvfzAbEi,647916033486841412602,work_location,,,,,,,,,,,,,,,
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,ZQfYWvfzAbEi,647916033486841412602,member_of,,,,,,,,,,,,,,,
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,ZQfYWvfzAbEi,647916033486841412602,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ,composer,,,,,,,
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,ZQfYWvfzAbEi,647916033486841412602,related_to,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2viC3VK3DkaX,Pomponio Torelli,,,,,
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,ZQfYWvfzAbEi,647916033486841412602,notable_work,,,,,,,,,,,,,,,
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,ZQfYWvfzAbEi,647916033486841412602,interested_in,,,,,,,,,,,,,,,
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,ZQfYWvfzAbEi,647916033486841412602,catalog_identifier,,,,,,,,,,,,,,,
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,ZQfYWvfzAbEi,647916033486841412602,present_in_work,,,,,,,,,,,,,,,
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,ZQfYWvfzAbEi,647916033486841412602,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q55226820
