class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_external_source,has_version_holding_institution,has_version_publication_date,has_version_IIIF_manifest,has_version_place_of_publication,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,depicts_label
Book,De umbris idearum,,,De umbris idearum,De umbris idearum.md,XWHYnvEkWZX6,608676732789652212400,identifier,https://mdz-nbn-resolving.de/details:bsb10208311,,,,,,,,,,,,,,,,,,,,,,
Book,De umbris idearum,,,De umbris idearum,De umbris idearum.md,XWHYnvEkWZX6,608676732789652212400,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/V863VaniCEeW,(Yates 1964),,,,,,,,,,,,,,,,,,,,
Book,De umbris idearum,,,De umbris idearum,De umbris idearum.md,XWHYnvEkWZX6,608676732789652212400,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JSkdZ5YkGGne,(Perella 1969),,,,,,,,,,,,,,,,,,,,
Book,De umbris idearum,,,De umbris idearum,De umbris idearum.md,XWHYnvEkWZX6,608676732789652212400,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jxrai4ybnrrd,(Eco 1993),,,,,,,,,,,,,,,,,,,,
Book,De umbris idearum,,,De umbris idearum,De umbris idearum.md,XWHYnvEkWZX6,608676732789652212400,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m7L8ASjPN8nA,treatise,,,,,,,,,,,,,,,,,,
Book,De umbris idearum,,,De umbris idearum,De umbris idearum.md,XWHYnvEkWZX6,608676732789652212400,title,,,,,,,,,,,,,,,,,,,,,,,
Book,De umbris idearum,,,De umbris idearum,De umbris idearum.md,XWHYnvEkWZX6,608676732789652212400,inception,,,,,,,1582.0,,,,,,,,,,,,,,,,
Book,De umbris idearum,,,De umbris idearum,De umbris idearum.md,XWHYnvEkWZX6,608676732789652212400,has_version,,,,,,,,https://mdz-nbn-resolving.de/details:bsb10208311,https://www.digitale-sammlungen.de/en/view/bsb10208311,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}",1582.0,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10208311/manifest,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dhbQrFWynqRh', 'label': 'Paris'}]",,,,,,,,,,
Book,De umbris idearum,,,De umbris idearum,De umbris idearum.md,XWHYnvEkWZX6,608676732789652212400,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2brEqdcLsYfo,Giordano Bruno,,,,,,,
Book,De umbris idearum,,,De umbris idearum,De umbris idearum.md,XWHYnvEkWZX6,608676732789652212400,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mKfEc82yh2qM,philosophy,,,,,
Book,De umbris idearum,,,De umbris idearum,De umbris idearum.md,XWHYnvEkWZX6,608676732789652212400,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mpPwPhnXcb3d,art of memory,,,,,
Book,De umbris idearum,,,De umbris idearum,De umbris idearum.md,XWHYnvEkWZX6,608676732789652212400,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RmaA75A9H4A7,ars combinatoria,,,,,
Book,De umbris idearum,,,De umbris idearum,De umbris idearum.md,XWHYnvEkWZX6,608676732789652212400,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JhRaHtEjNU96,astrology,,,,,
Book,De umbris idearum,,,De umbris idearum,De umbris idearum.md,XWHYnvEkWZX6,608676732789652212400,based_on,,,,,,,,,,,,,,,,,,,,,,,
Book,De umbris idearum,,,De umbris idearum,De umbris idearum.md,XWHYnvEkWZX6,608676732789652212400,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,,
Book,De umbris idearum,,,De umbris idearum,De umbris idearum.md,XWHYnvEkWZX6,608676732789652212400,has_part,,,,,,,,,,,,,,,,,,,,,,,
Book,De umbris idearum,,,De umbris idearum,De umbris idearum.md,XWHYnvEkWZX6,608676732789652212400,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oSZYuCbHEuRt,volvelle
