class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_note,based_on_label,derivative_work_value,text_value
MusicComposition,Amor tu causi tutt'il penar mio (Dattari),,,Amor tu causi tutt'il penar mio (Dattari),Amor tu causi tutt'il penar mio (Dattari).md,A4TRHbKoHDVm,165972645692706126832,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/019850000010101_000000078300C,,,,,,,,,,,,,,,
MusicComposition,Amor tu causi tutt'il penar mio (Dattari),,,Amor tu causi tutt'il penar mio (Dattari),Amor tu causi tutt'il penar mio (Dattari).md,A4TRHbKoHDVm,165972645692706126832,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,
MusicComposition,Amor tu causi tutt'il penar mio (Dattari),,,Amor tu causi tutt'il penar mio (Dattari),Amor tu causi tutt'il penar mio (Dattari).md,A4TRHbKoHDVm,165972645692706126832,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QypSgehNnySf,villanella,,,,,,,,,,,
MusicComposition,Amor tu causi tutt'il penar mio (Dattari),,,Amor tu causi tutt'il penar mio (Dattari),Amor tu causi tutt'il penar mio (Dattari).md,A4TRHbKoHDVm,165972645692706126832,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8cwGVT3ZREMt,Laura Terracina,,,,,,,,
MusicComposition,Amor tu causi tutt'il penar mio (Dattari),,,Amor tu causi tutt'il penar mio (Dattari),Amor tu causi tutt'il penar mio (Dattari).md,A4TRHbKoHDVm,165972645692706126832,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/n28sYsCwUZS5,Ghindolfo Dattari,,,,,,,,
MusicComposition,Amor tu causi tutt'il penar mio (Dattari),,,Amor tu causi tutt'il penar mio (Dattari),Amor tu causi tutt'il penar mio (Dattari).md,A4TRHbKoHDVm,165972645692706126832,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/A4TRHbKoHDVm,Amor tu causi tutt'il penar mio (Dattari),,,,,,
MusicComposition,Amor tu causi tutt'il penar mio (Dattari),,,Amor tu causi tutt'il penar mio (Dattari),Amor tu causi tutt'il penar mio (Dattari).md,A4TRHbKoHDVm,165972645692706126832,instrumentation,,,,,,,,,,,,,,,,
MusicComposition,Amor tu causi tutt'il penar mio (Dattari),,,Amor tu causi tutt'il penar mio (Dattari),Amor tu causi tutt'il penar mio (Dattari).md,A4TRHbKoHDVm,165972645692706126832,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DScvW8CskarL,The lyrics have been substancially changed.,Amor tu causi tutt'il penar mio,,
MusicComposition,Amor tu causi tutt'il penar mio (Dattari),,,Amor tu causi tutt'il penar mio (Dattari),Amor tu causi tutt'il penar mio (Dattari).md,A4TRHbKoHDVm,165972645692706126832,derivative_work,,,,,,,,,,,,,,,,
MusicComposition,Amor tu causi tutt'il penar mio (Dattari),,,Amor tu causi tutt'il penar mio (Dattari),Amor tu causi tutt'il penar mio (Dattari).md,A4TRHbKoHDVm,165972645692706126832,text,,,,,,,,,,,,,,,,"Amor tu causi tutt'il penar mio
Tu mi fai tort'e non colei ch'adoro
Ma se tu vuoi ch'io viv'in tal martire
Fammi più presto pregoti morire.

E se tu dessi effeto al mio desio,
Havrei nei danni almen qualche ristoro
Ma se tu vuoi ch'io viv'in tal martire
Fammi più presto pregoti morire.

Tu fosti sempre un lusinghier d'amore
E sei caggion, che per amar io moro
Ma se tu vuoi ch'io viv'in tal martire
Fammi più presto pregoti morire.

Ma perché tanto al mio soccorso tardi
S'havut'io n'ho da lei parol'e sguardi
Tu mi fai star con speme in su la cima,
E a corre il frutto un'altro serà prima."
