class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,EKBsStjsf66c,253848037195133392978,identifier,http://www.wikidata.org/entity/Q250089,,,,,,,,,,,,,,,,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,EKBsStjsf66c,253848037195133392978,described_by_source,,,,,,,,,,,,,,,,,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,EKBsStjsf66c,253848037195133392978,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,EKBsStjsf66c,253848037195133392978,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,EKBsStjsf66c,253848037195133392978,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MYfqAMA7FA2N,Siena,,,,,,,,,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,EKBsStjsf66c,253848037195133392978,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dro24WHpsjn3,Accademia degli Intronati di Siena,,,,,,,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,EKBsStjsf66c,253848037195133392978,occupation,,,,,,,,,,,,,,,,,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,EKBsStjsf66c,253848037195133392978,related_to,,,,,,,,,,,,,,,,,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,EKBsStjsf66c,253848037195133392978,notable_work,,,,,,,,,,,,,,,,,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,EKBsStjsf66c,253848037195133392978,interested_in,,,,,,,,,,,,,,,,,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,EKBsStjsf66c,253848037195133392978,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",9205.0,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,EKBsStjsf66c,253848037195133392978,present_in_work,,,,,,,,,,,,,,,,,
