class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_label,member_of_role,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Domenico Venier,,,Domenico Venier,Domenico Venier.md,nJJPSukTCTAB,913876140692974555779,identifier,http://www.wikidata.org/entity/Q55887562,,,,,,,,,,,,,,,,
Agent,Domenico Venier,,,Domenico Venier,Domenico Venier.md,nJJPSukTCTAB,913876140692974555779,described_by_source,,,,,,,,,,,,,,,,,
Agent,Domenico Venier,,,Domenico Venier,Domenico Venier.md,nJJPSukTCTAB,913876140692974555779,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Domenico Venier,,,Domenico Venier,Domenico Venier.md,nJJPSukTCTAB,913876140692974555779,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Domenico Venier,,,Domenico Venier,Domenico Venier.md,nJJPSukTCTAB,913876140692974555779,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,,
Agent,Domenico Venier,,,Domenico Venier,Domenico Venier.md,nJJPSukTCTAB,913876140692974555779,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2uSronTLfPLh,Accademia Veniera,,,,,,,
Agent,Domenico Venier,,,Domenico Venier,Domenico Venier.md,nJJPSukTCTAB,913876140692974555779,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5jRWaYbHHcZc,Accademia Veneziana,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QJd3XfmEAuxc', 'label': 'founder'}",,,,,,
Agent,Domenico Venier,,,Domenico Venier,Domenico Venier.md,nJJPSukTCTAB,913876140692974555779,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,
Agent,Domenico Venier,,,Domenico Venier,Domenico Venier.md,nJJPSukTCTAB,913876140692974555779,related_to,,,,,,,,,,,,,,,,,
Agent,Domenico Venier,,,Domenico Venier,Domenico Venier.md,nJJPSukTCTAB,913876140692974555779,notable_work,,,,,,,,,,,,,,,,,
Agent,Domenico Venier,,,Domenico Venier,Domenico Venier.md,nJJPSukTCTAB,913876140692974555779,interested_in,,,,,,,,,,,,,,,,,
Agent,Domenico Venier,,,Domenico Venier,Domenico Venier.md,nJJPSukTCTAB,913876140692974555779,catalog_identifier,,,,,,,,,,,,,,,,,
