class,label,aliases,description,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_reference,work_location_label,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_source,catalog_identifier_value
Agent,Laura Battiferri,"['Laura Battiferra', 'Laura Battiferri Ammannati']",,Laura Battiferri,Laura Battiferri.md,MCpqmQ2EH76N,395999920517957579003,identifier,http://www.wikidata.org/entity/Q426217,,,,,,,,,,,,,,,,,,,,,,,,,
Agent,Laura Battiferri,"['Laura Battiferra', 'Laura Battiferri Ammannati']",,Laura Battiferri,Laura Battiferri.md,MCpqmQ2EH76N,395999920517957579003,identifier,https://lyra.unil.ch/agents/222,,,,,,,,,,,,,,,,,,,,,,,,,
Agent,Laura Battiferri,"['Laura Battiferra', 'Laura Battiferri Ammannati']",,Laura Battiferri,Laura Battiferri.md,MCpqmQ2EH76N,395999920517957579003,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7zcAeoxQTDK,(Del Bianco 2022),,,,,,,,,,,,,,,,,,,,,,,
Agent,Laura Battiferri,"['Laura Battiferra', 'Laura Battiferri Ammannati']",,Laura Battiferri,Laura Battiferri.md,MCpqmQ2EH76N,395999920517957579003,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,,,,,,,,,,
Agent,Laura Battiferri,"['Laura Battiferra', 'Laura Battiferri Ammannati']",,Laura Battiferri,Laura Battiferri.md,MCpqmQ2EH76N,395999920517957579003,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,,,,,
Agent,Laura Battiferri,"['Laura Battiferra', 'Laura Battiferri Ammannati']",,Laura Battiferri,Laura Battiferri.md,MCpqmQ2EH76N,395999920517957579003,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,,,,,,,
Agent,Laura Battiferri,"['Laura Battiferra', 'Laura Battiferri Ammannati']",,Laura Battiferri,Laura Battiferri.md,MCpqmQ2EH76N,395999920517957579003,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YfUNbStqAZ4d', 'label': '(Geremicca 2017)'}]",Firenze,,,,,,,,,,,,,,,,
Agent,Laura Battiferri,"['Laura Battiferra', 'Laura Battiferri Ammannati']",,Laura Battiferri,Laura Battiferri.md,MCpqmQ2EH76N,395999920517957579003,member_of,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mMhqzLyKW2Gj,1550.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia degli Assorditi di Urbino,,,,,,,,,,,,
Agent,Laura Battiferri,"['Laura Battiferra', 'Laura Battiferri Ammannati']",,Laura Battiferri,Laura Battiferri.md,MCpqmQ2EH76N,395999920517957579003,member_of,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dro24WHpsjn3,1560.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia degli Intronati di Siena,,,,,,,,,,,,
Agent,Laura Battiferri,"['Laura Battiferra', 'Laura Battiferri Ammannati']",,Laura Battiferri,Laura Battiferri.md,MCpqmQ2EH76N,395999920517957579003,occupation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,,,,
