class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value,described_by_source_value,described_by_source_label
PoeticWork,Trema e paventa in me l'ingegno e l'arte,Trema e paventa in me l'ingegno e l'arte.md,Trema e paventa in me l'ingegno e l'arte,UW9VqcMMwZcv,546717892378739515993,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Trema e paventa in me l'ingegno e l'arte,Trema e paventa in me l'ingegno e l'arte.md,Trema e paventa in me l'ingegno e l'arte,UW9VqcMMwZcv,546717892378739515993,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kFghMqXMQGVb,Dianora Sanseverino,,,,,,,,,,,,,,,,,,,
PoeticWork,Trema e paventa in me l'ingegno e l'arte,Trema e paventa in me l'ingegno e l'arte.md,Trema e paventa in me l'ingegno e l'arte,UW9VqcMMwZcv,546717892378739515993,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WsQJYjxufGKj,Laura Terracina,,,,,,,,,,,,,,,,,,,
PoeticWork,Trema e paventa in me l'ingegno e l'arte,Trema e paventa in me l'ingegno e l'arte.md,Trema e paventa in me l'ingegno e l'arte,UW9VqcMMwZcv,546717892378739515993,part_of,,,,,,11.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NdoMgsS6yGTo,Alla S. Dianora Sanseverina.,Rime de la signora Laura Terracina,,,,,,,,,,,,,,,
PoeticWork,Trema e paventa in me l'ingegno e l'arte,Trema e paventa in me l'ingegno e l'arte.md,Trema e paventa in me l'ingegno e l'arte,UW9VqcMMwZcv,546717892378739515993,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Trema e paventa in me l'ingegno e l'arte,Trema e paventa in me l'ingegno e l'arte.md,Trema e paventa in me l'ingegno e l'arte,UW9VqcMMwZcv,546717892378739515993,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Trema e paventa in me l'ingegno e l'arte,Trema e paventa in me l'ingegno e l'arte.md,Trema e paventa in me l'ingegno e l'arte,UW9VqcMMwZcv,546717892378739515993,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,,,
PoeticWork,Trema e paventa in me l'ingegno e l'arte,Trema e paventa in me l'ingegno e l'arte.md,Trema e paventa in me l'ingegno e l'arte,UW9VqcMMwZcv,546717892378739515993,poetic_type,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,,,,
PoeticWork,Trema e paventa in me l'ingegno e l'arte,Trema e paventa in me l'ingegno e l'arte.md,Trema e paventa in me l'ingegno e l'arte,UW9VqcMMwZcv,546717892378739515993,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,,,
PoeticWork,Trema e paventa in me l'ingegno e l'arte,Trema e paventa in me l'ingegno e l'arte.md,Trema e paventa in me l'ingegno e l'arte,UW9VqcMMwZcv,546717892378739515993,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/itAFZTrSnPxJ,Mars,,,,,
