class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,9LEZ2dYU8dsG,151047572283560830679,identifier,http://www.wikidata.org/entity/Q5565265,,,,,,,,,,,,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,9LEZ2dYU8dsG,151047572283560830679,described_by_source,,,,,,,,,,,,,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,9LEZ2dYU8dsG,151047572283560830679,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,9LEZ2dYU8dsG,151047572283560830679,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,9LEZ2dYU8dsG,151047572283560830679,work_location,,,,,,,,,,,,,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,9LEZ2dYU8dsG,151047572283560830679,member_of,,,,,,,,,,,,,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,9LEZ2dYU8dsG,151047572283560830679,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ,composer,,,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,9LEZ2dYU8dsG,151047572283560830679,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BTu8aQJK5duX,Renée of Valois,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,9LEZ2dYU8dsG,151047572283560830679,notable_work,,,,,,,,,,,,,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,9LEZ2dYU8dsG,151047572283560830679,interested_in,,,,,,,,,,,,,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,9LEZ2dYU8dsG,151047572283560830679,catalog_identifier,,,,,,,,,,,,,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,9LEZ2dYU8dsG,151047572283560830679,present_in_work,,,,,,,,,,,,,,,,
