class,label,aliases,description,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_reference,work_location_label,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_source,catalog_identifier_value
Agent,Laura Battiferri,"['Laura Battiferra', 'Laura Battiferri Ammannati']",,Laura Battiferri,Laura Battiferri.md,AQ4Mxw23doRC,173066859896483435056,identifier,http://www.wikidata.org/entity/Q426217,,,,,,,,,,,,,,,,,,,,,,,,,
Agent,Laura Battiferri,"['Laura Battiferra', 'Laura Battiferri Ammannati']",,Laura Battiferri,Laura Battiferri.md,AQ4Mxw23doRC,173066859896483435056,identifier,https://lyra.unil.ch/agents/222,,,,,,,,,,,,,,,,,,,,,,,,,
Agent,Laura Battiferri,"['Laura Battiferra', 'Laura Battiferri Ammannati']",,Laura Battiferri,Laura Battiferri.md,AQ4Mxw23doRC,173066859896483435056,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kAuAzk9YeiqY,(Del Bianco 2022),,,,,,,,,,,,,,,,,,,,,,,
Agent,Laura Battiferri,"['Laura Battiferra', 'Laura Battiferri Ammannati']",,Laura Battiferri,Laura Battiferri.md,AQ4Mxw23doRC,173066859896483435056,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx,(Cox 2020),,,,,,,,,,,,,,,,,,,,,,,
Agent,Laura Battiferri,"['Laura Battiferra', 'Laura Battiferri Ammannati']",,Laura Battiferri,Laura Battiferri.md,AQ4Mxw23doRC,173066859896483435056,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,,,,,,
Agent,Laura Battiferri,"['Laura Battiferra', 'Laura Battiferri Ammannati']",,Laura Battiferri,Laura Battiferri.md,AQ4Mxw23doRC,173066859896483435056,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,,,,,,,,
Agent,Laura Battiferri,"['Laura Battiferra', 'Laura Battiferri Ammannati']",,Laura Battiferri,Laura Battiferri.md,AQ4Mxw23doRC,173066859896483435056,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Hm8LNCNr7Wxn,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3XnpJ3vZQnbp', 'label': '(Geremicca 2017)'}]",Firenze,,,,,,,,,,,,,,,,
Agent,Laura Battiferri,"['Laura Battiferra', 'Laura Battiferri Ammannati']",,Laura Battiferri,Laura Battiferri.md,AQ4Mxw23doRC,173066859896483435056,member_of,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hf6JDFWQ8eAj,1550.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}]",Accademia degli Assorditi di Urbino,,,,,,,,,,,,
Agent,Laura Battiferri,"['Laura Battiferra', 'Laura Battiferri Ammannati']",,Laura Battiferri,Laura Battiferri.md,AQ4Mxw23doRC,173066859896483435056,member_of,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QSyianVr6pdC,1560.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}]",Accademia degli Intronati di Siena,,,,,,,,,,,,
Agent,Laura Battiferri,"['Laura Battiferra', 'Laura Battiferri Ammannati']",,Laura Battiferri,Laura Battiferri.md,AQ4Mxw23doRC,173066859896483435056,occupation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,,,,,
