class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_section,part_of_volume,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Vaghi augelletti, che tra frondi, e fiori",,,"Vaghi augelletti, che tra frondi, e fiori","Vaghi augelletti, che tra frondi, e fiori.md",35UKSPEbEpqw,21889079839260620519,identifier,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Vaghi augelletti, che tra frondi, e fiori",,,"Vaghi augelletti, che tra frondi, e fiori","Vaghi augelletti, che tra frondi, e fiori.md",35UKSPEbEpqw,21889079839260620519,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Vaghi augelletti, che tra frondi, e fiori",,,"Vaghi augelletti, che tra frondi, e fiori","Vaghi augelletti, che tra frondi, e fiori.md",35UKSPEbEpqw,21889079839260620519,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Vaghi augelletti, che tra frondi, e fiori",,,"Vaghi augelletti, che tra frondi, e fiori","Vaghi augelletti, che tra frondi, e fiori.md",35UKSPEbEpqw,21889079839260620519,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4yirr4fPGSu5,Ascanio Mori,,,,,,,,,,,,,,,,,,
PoeticWork,"Vaghi augelletti, che tra frondi, e fiori",,,"Vaghi augelletti, che tra frondi, e fiori","Vaghi augelletti, che tra frondi, e fiori.md",35UKSPEbEpqw,21889079839260620519,part_of,,,,,,,,42.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7NoiV6BUEEEb,,V. La Signora Livia,Giuoco piacevole d'Ascanio de Mori,,,,,,,,,,,,,
PoeticWork,"Vaghi augelletti, che tra frondi, e fiori",,,"Vaghi augelletti, che tra frondi, e fiori","Vaghi augelletti, che tra frondi, e fiori.md",35UKSPEbEpqw,21889079839260620519,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Vaghi augelletti, che tra frondi, e fiori",,,"Vaghi augelletti, che tra frondi, e fiori","Vaghi augelletti, che tra frondi, e fiori.md",35UKSPEbEpqw,21889079839260620519,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Vaghi augelletti, che tra frondi, e fiori",,,"Vaghi augelletti, che tra frondi, e fiori","Vaghi augelletti, che tra frondi, e fiori.md",35UKSPEbEpqw,21889079839260620519,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2i89qrxS3XR,metaphor,,,,,,,,,
PoeticWork,"Vaghi augelletti, che tra frondi, e fiori",,,"Vaghi augelletti, che tra frondi, e fiori","Vaghi augelletti, che tra frondi, e fiori.md",35UKSPEbEpqw,21889079839260620519,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,"Vaghi augelletti, che tra frondi, e fiori",,,"Vaghi augelletti, che tra frondi, e fiori","Vaghi augelletti, che tra frondi, e fiori.md",35UKSPEbEpqw,21889079839260620519,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
