class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_external_source,has_version_permalink,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,instrumentation_value,instrumentation_quantity,instrumentation_label
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,2Sb8fPnR73AZ,8899139852586544465,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV51830010,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,2Sb8fPnR73AZ,8899139852586544465,identifier,https://edit16.iccu.sbn.it/titolo/CNCE036469,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,2Sb8fPnR73AZ,8899139852586544465,identifier,https://rism.online/sources/993120641,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,2Sb8fPnR73AZ,8899139852586544465,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,2Sb8fPnR73AZ,8899139852586544465,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,2Sb8fPnR73AZ,8899139852586544465,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f7SkukMmayjC,incomplete,,,,,,,,,,,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,2Sb8fPnR73AZ,8899139852586544465,title,,,,,,"Aeri racolti insieme con altri bellissimi aggionti di diversi doue si cantano sonetti, stanze & terze rime, novamente ristampati",,,,,,,,,,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,2Sb8fPnR73AZ,8899139852586544465,inception,,,,,,,1577.0,,,,,,,,,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,2Sb8fPnR73AZ,8899139852586544465,has_version,,,,,,,,1577.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gbLYmsbE7QZL', 'label': 'Napoli'}]",http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_R/R229/,https://edit16.iccu.sbn.it/titolo/CNCE036469,Tenor part is missing,,,,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,2Sb8fPnR73AZ,8899139852586544465,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eirWogJRTfc7,Francesco Menta,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,2Sb8fPnR73AZ,8899139852586544465,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MfCPqcgP6Ahu,Scipione Delle Palle,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,2Sb8fPnR73AZ,8899139852586544465,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TWgNp69MHDbB,Scipione Dentice,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,2Sb8fPnR73AZ,8899139852586544465,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2YkKiGL73gZU,Fabrizio Dentice,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,2Sb8fPnR73AZ,8899139852586544465,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EBMKwsCza3hd,Ludovico Ariosto,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,2Sb8fPnR73AZ,8899139852586544465,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Gi5ZXtz7nvet,Pietro Bembo,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,2Sb8fPnR73AZ,8899139852586544465,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJzQoB8QSGjd', 'label': 'editor'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kj8PrHbstvRV,Rocco Rodio,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,2Sb8fPnR73AZ,8899139852586544465,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GhA3XmpeZfqx,arie per cantare,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,2Sb8fPnR73AZ,8899139852586544465,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JjrdtVHFL2hc,extemporary poetry,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,2Sb8fPnR73AZ,8899139852586544465,has_part,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,2Sb8fPnR73AZ,8899139852586544465,instrumentation,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kSRFAFQb4mfa,1.0,bassus
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,2Sb8fPnR73AZ,8899139852586544465,instrumentation,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6xVaVEAi3tdM,1.0,cantus
