class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_pseudonym,member_of_start_date,member_of_reference,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Fabrizia Carrari,Fabrizia Carrari.md,Fabrizia Carrari,fvwm42sXFuNw,782695452155319755762,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Fabrizia Carrari,Fabrizia Carrari.md,Fabrizia Carrari,fvwm42sXFuNw,782695452155319755762,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,
Agent,Fabrizia Carrari,Fabrizia Carrari.md,Fabrizia Carrari,fvwm42sXFuNw,782695452155319755762,work_location,,,,,,,,,,,,,,,,,
Agent,Fabrizia Carrari,Fabrizia Carrari.md,Fabrizia Carrari,fvwm42sXFuNw,782695452155319755762,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HpAhbrLTqQTH,Boscareccia,1587.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}, {'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Accademia degli Erranti di Ceneda,,,,,,,
Agent,Fabrizia Carrari,Fabrizia Carrari.md,Fabrizia Carrari,fvwm42sXFuNw,782695452155319755762,occupation,,,,,,,,,,,,,,,,,
Agent,Fabrizia Carrari,Fabrizia Carrari.md,Fabrizia Carrari,fvwm42sXFuNw,782695452155319755762,related_to,,,,,,,,,,,,,,,,,
Agent,Fabrizia Carrari,Fabrizia Carrari.md,Fabrizia Carrari,fvwm42sXFuNw,782695452155319755762,notable_work,,,,,,,,,,,,,,,,,
Agent,Fabrizia Carrari,Fabrizia Carrari.md,Fabrizia Carrari,fvwm42sXFuNw,782695452155319755762,interested_in,,,,,,,,,,,,,,,,,
Agent,Fabrizia Carrari,Fabrizia Carrari.md,Fabrizia Carrari,fvwm42sXFuNw,782695452155319755762,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",16271.0,
Agent,Fabrizia Carrari,Fabrizia Carrari.md,Fabrizia Carrari,fvwm42sXFuNw,782695452155319755762,present_in_work,,,,,,,,,,,,,,,,,
