class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Alfonso dalla Viola,,,Alfonso dalla Viola,Alfonso dalla Viola.md,7Y29ffZ8xr7v,114041353031922270280,identifier,http://www.wikidata.org/entity/Q3611268,,,,,,,,,,,,,,,,
Agent,Alfonso dalla Viola,,,Alfonso dalla Viola,Alfonso dalla Viola.md,7Y29ffZ8xr7v,114041353031922270280,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fd9ZVb3FMniL,(Stras 2018),,,,,,,,,,,,,,
Agent,Alfonso dalla Viola,,,Alfonso dalla Viola,Alfonso dalla Viola.md,7Y29ffZ8xr7v,114041353031922270280,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Alfonso dalla Viola,,,Alfonso dalla Viola,Alfonso dalla Viola.md,7Y29ffZ8xr7v,114041353031922270280,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Alfonso dalla Viola,,,Alfonso dalla Viola,Alfonso dalla Viola.md,7Y29ffZ8xr7v,114041353031922270280,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo,Ferrara,,,,,,,,
Agent,Alfonso dalla Viola,,,Alfonso dalla Viola,Alfonso dalla Viola.md,7Y29ffZ8xr7v,114041353031922270280,member_of,,,,,,,,,,,,,,,,,
Agent,Alfonso dalla Viola,,,Alfonso dalla Viola,Alfonso dalla Viola.md,7Y29ffZ8xr7v,114041353031922270280,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,
Agent,Alfonso dalla Viola,,,Alfonso dalla Viola,Alfonso dalla Viola.md,7Y29ffZ8xr7v,114041353031922270280,related_to,,,,,,,,,,,,,,,,,
Agent,Alfonso dalla Viola,,,Alfonso dalla Viola,Alfonso dalla Viola.md,7Y29ffZ8xr7v,114041353031922270280,notable_work,,,,,,,,,,,,,,,,,
Agent,Alfonso dalla Viola,,,Alfonso dalla Viola,Alfonso dalla Viola.md,7Y29ffZ8xr7v,114041353031922270280,interested_in,,,,,,,,,,,,,,,,,
Agent,Alfonso dalla Viola,,,Alfonso dalla Viola,Alfonso dalla Viola.md,7Y29ffZ8xr7v,114041353031922270280,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Alfonso dalla Viola,,,Alfonso dalla Viola,Alfonso dalla Viola.md,7Y29ffZ8xr7v,114041353031922270280,present_in_work,,,,,,,,,,,,,,,,,
