class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,metre_value,metre_label,depicts_value,text_value,described_by_source_value,described_by_source_label
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",GcdSWz7hHKGD,301436763901496482796,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",GcdSWz7hHKGD,301436763901496482796,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cPYaPZBj5M8S,Claudio Tolomei,,,,,,,,,,,,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",GcdSWz7hHKGD,301436763901496482796,part_of,,,,,,,,,,,,,,,,,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",GcdSWz7hHKGD,301436763901496482796,based_on,,,,,,,,,,,,,,,,,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",GcdSWz7hHKGD,301436763901496482796,derivative_work,,,,,,,,,,,,,,,,,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",GcdSWz7hHKGD,301436763901496482796,subject,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",GcdSWz7hHKGD,301436763901496482796,subject,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SKtDLrjwskaN,Accademia delle Virtù,,,,,,,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",GcdSWz7hHKGD,301436763901496482796,poetic_type,,,,,,,,,,,,,,,,,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",GcdSWz7hHKGD,301436763901496482796,metre,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",GcdSWz7hHKGD,301436763901496482796,depicts,,,,,,,,,,,,,,,,,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",GcdSWz7hHKGD,301436763901496482796,text,,,,,,,,,,,,,,,"O bella Dea, che da' celesti giri
Discesa in terra sei spinta d'amore;
Che già gli spirti eletti infiammati e inspiri,
E vesti il mondo, di novel colore;
Empi di santi affetti, e bei desiri,
A questa schiera Virtuosa i core.",,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",GcdSWz7hHKGD,301436763901496482796,described_by_source,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7VwEEvbhjKZB,(Moroncini 2017)
