class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,language_value,language_label,text_value
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6jEBnycadqmZ,97464274490378620771,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6jEBnycadqmZ,97464274490378620771,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6jEBnycadqmZ,97464274490378620771,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6jEBnycadqmZ,97464274490378620771,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dGUWfMNNCYuo,Gaspara Stampa,,,,,,,,,,,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6jEBnycadqmZ,97464274490378620771,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h3THWXv6qB74,Gaspara Stampa,60.0,Rime di madonna Gaspara Stampa,,,,,,,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6jEBnycadqmZ,97464274490378620771,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6jEBnycadqmZ,97464274490378620771,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6jEBnycadqmZ,97464274490378620771,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PgcFuPe2GzQH,loyalty,,,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6jEBnycadqmZ,97464274490378620771,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6jEBnycadqmZ,97464274490378620771,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6jEBnycadqmZ,97464274490378620771,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6jEBnycadqmZ,97464274490378620771,depicts,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6jEBnycadqmZ,97464274490378620771,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6jEBnycadqmZ,97464274490378620771,text,,,,,,,,,,,,,,,,,,,,,,,"Chi può contar' il mio felice stato.
L'alta mia gioia, e gli alti miei diletti?
O un di que' del ciel angeli eletti,
O altro amante, che l'habbia provato.

Io mi sto sempre al mio Signor' a lato
Godo il lampo degli occhi, e'l suon de i detti,
Vivomi de'divini alti concetti,
Ch'escon da tanto ingegno e sì pregiato.

Io mi miro sovente il suo bel viso,
E mirando mi par veder'insieme
Tutta la gloria e'l ben del Paradiso,

Quel, che sol turba in parte la mia speme,
È'l timor, che da me non sia diviso,
Che'l vorrei meco fin'a l'hore estreme."
