class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_role,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Bernardino Maffei,Bernardino Maffei.md,Bernardino Maffei,e5CPeEPzXtTp,744044421576864034993,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,
Agent,Bernardino Maffei,Bernardino Maffei.md,Bernardino Maffei,e5CPeEPzXtTp,744044421576864034993,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,
Agent,Bernardino Maffei,Bernardino Maffei.md,Bernardino Maffei,e5CPeEPzXtTp,744044421576864034993,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,,,,,,,
Agent,Bernardino Maffei,Bernardino Maffei.md,Bernardino Maffei,e5CPeEPzXtTp,744044421576864034993,member_of,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SKtDLrjwskaN,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/joaxpdFod2Jb', 'label': 'founder'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MmYBcxDcaCgT', 'label': '(Corso 2017)'}]",Accademia delle Virtù,,,,,,,
Agent,Bernardino Maffei,Bernardino Maffei.md,Bernardino Maffei,e5CPeEPzXtTp,744044421576864034993,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Rfdm5oYMwDjo,cardinal,,,,,
Agent,Bernardino Maffei,Bernardino Maffei.md,Bernardino Maffei,e5CPeEPzXtTp,744044421576864034993,related_to,,,,,,,,,,,,,,,,,
Agent,Bernardino Maffei,Bernardino Maffei.md,Bernardino Maffei,e5CPeEPzXtTp,744044421576864034993,notable_work,,,,,,,,,,,,,,,,,
Agent,Bernardino Maffei,Bernardino Maffei.md,Bernardino Maffei,e5CPeEPzXtTp,744044421576864034993,interested_in,,,,,,,,,,,,,,,,,
Agent,Bernardino Maffei,Bernardino Maffei.md,Bernardino Maffei,e5CPeEPzXtTp,744044421576864034993,catalog_identifier,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",18093.0
