class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Vivo su questo scoglio orrido e solo,"The author feels like a lonesome bird on a desolate cliff, unable to fly.",,Vivo su questo scoglio orrido e solo,Vivo su questo scoglio orrido e solo.md,NqF6draRmsCN,429816649248525139952,identifier,https://versologie.cz/poetree/browser/poem?corpus=it&id_poem=14857,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Vivo su questo scoglio orrido e solo,"The author feels like a lonesome bird on a desolate cliff, unable to fly.",,Vivo su questo scoglio orrido e solo,Vivo su questo scoglio orrido e solo.md,NqF6draRmsCN,429816649248525139952,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Vivo su questo scoglio orrido e solo,"The author feels like a lonesome bird on a desolate cliff, unable to fly.",,Vivo su questo scoglio orrido e solo,Vivo su questo scoglio orrido e solo.md,NqF6draRmsCN,429816649248525139952,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Vivo su questo scoglio orrido e solo,"The author feels like a lonesome bird on a desolate cliff, unable to fly.",,Vivo su questo scoglio orrido e solo,Vivo su questo scoglio orrido e solo.md,NqF6draRmsCN,429816649248525139952,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YJP9QUN4Mbfw,Vittoria Colonna,,,,,,,,,,,,,,,,
PoeticWork,Vivo su questo scoglio orrido e solo,"The author feels like a lonesome bird on a desolate cliff, unable to fly.",,Vivo su questo scoglio orrido e solo,Vivo su questo scoglio orrido e solo.md,NqF6draRmsCN,429816649248525139952,part_of,,,,,,,,"Vittoria Colonna, VI",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8bcRKeoRwLYe,(van Dooren 1992),,,,,,,,,,,,,
PoeticWork,Vivo su questo scoglio orrido e solo,"The author feels like a lonesome bird on a desolate cliff, unable to fly.",,Vivo su questo scoglio orrido e solo,Vivo su questo scoglio orrido e solo.md,NqF6draRmsCN,429816649248525139952,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Vivo su questo scoglio orrido e solo,"The author feels like a lonesome bird on a desolate cliff, unable to fly.",,Vivo su questo scoglio orrido e solo,Vivo su questo scoglio orrido e solo.md,NqF6draRmsCN,429816649248525139952,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Vivo su questo scoglio orrido e solo,"The author feels like a lonesome bird on a desolate cliff, unable to fly.",,Vivo su questo scoglio orrido e solo,Vivo su questo scoglio orrido e solo.md,NqF6draRmsCN,429816649248525139952,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2i89qrxS3XR,metaphor,,,,,,,,,
PoeticWork,Vivo su questo scoglio orrido e solo,"The author feels like a lonesome bird on a desolate cliff, unable to fly.",,Vivo su questo scoglio orrido e solo,Vivo su questo scoglio orrido e solo.md,NqF6draRmsCN,429816649248525139952,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,Vivo su questo scoglio orrido e solo,"The author feels like a lonesome bird on a desolate cliff, unable to fly.",,Vivo su questo scoglio orrido e solo,Vivo su questo scoglio orrido e solo.md,NqF6draRmsCN,429816649248525139952,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
