class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,TUZaQCSQ3zzX,525510868362976226582,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/000430000101_PPPP00011000C,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,TUZaQCSQ3zzX,525510868362976226582,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,TUZaQCSQ3zzX,525510868362976226582,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,TUZaQCSQ3zzX,525510868362976226582,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ke7Y8iiuR8Rg,Isabella Andreini,,,,,,,,,,,,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,TUZaQCSQ3zzX,525510868362976226582,part_of,,,,,,,,,Mad. LXXX.,151.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ntSDGzZoi2Eb,Rime d'Isabella Andreini padovana comica Gelosa,,,,,,,,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,TUZaQCSQ3zzX,525510868362976226582,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,TUZaQCSQ3zzX,525510868362976226582,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,TUZaQCSQ3zzX,525510868362976226582,subject,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,TUZaQCSQ3zzX,525510868362976226582,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,TUZaQCSQ3zzX,525510868362976226582,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,TUZaQCSQ3zzX,525510868362976226582,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,TUZaQCSQ3zzX,525510868362976226582,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/494MWJWBbbLj,eye,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,TUZaQCSQ3zzX,525510868362976226582,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SXrVe27zaz8x,light beam,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,TUZaQCSQ3zzX,525510868362976226582,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PkJjQdNqm3ok,thousand,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,TUZaQCSQ3zzX,525510868362976226582,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ACTN7uuqiNiD,torment,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,TUZaQCSQ3zzX,525510868362976226582,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,TUZaQCSQ3zzX,525510868362976226582,text,,,,,,,,,,,,,,,,,,,,,,,,"Per pietà di me stesso
Me medesmo bandisco
Da quel bel volto, ch'ho ne l'alma impresso;
Perché qualhor ardisco
D'avvicinarmi a quei duo soli ardenti
Provo per un piacer mille tormenti."
