class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Qual Sirena apparì nell'età nostra?,,,Qual Sirena apparì nell'età nostra?,Qual Sirena apparì nell'età nostra?.md,XaM7pE3GrAhr,610147488765400059117,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Qual Sirena apparì nell'età nostra?,,,Qual Sirena apparì nell'età nostra?,Qual Sirena apparì nell'età nostra?.md,XaM7pE3GrAhr,610147488765400059117,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Qual Sirena apparì nell'età nostra?,,,Qual Sirena apparì nell'età nostra?,Qual Sirena apparì nell'età nostra?.md,XaM7pE3GrAhr,610147488765400059117,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Qual Sirena apparì nell'età nostra?,,,Qual Sirena apparì nell'età nostra?,Qual Sirena apparì nell'età nostra?.md,XaM7pE3GrAhr,610147488765400059117,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/87Q6reeKpipr,Girolamo Bartolomei,,,,,,,,,,,,,,,,
PoeticWork,Qual Sirena apparì nell'età nostra?,,,Qual Sirena apparì nell'età nostra?,Qual Sirena apparì nell'età nostra?.md,XaM7pE3GrAhr,610147488765400059117,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/E5iRLUFCaaJC,Barbara degli Albizzi Tagliamochi,,,,,,,,,,,,,,,,
PoeticWork,Qual Sirena apparì nell'età nostra?,,,Qual Sirena apparì nell'età nostra?,Qual Sirena apparì nell'età nostra?.md,XaM7pE3GrAhr,610147488765400059117,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6RCgZiH6GJMA,In lode della Signora Barbera Tigliamochi degli Albizi. Sonetto del Signor Girolamo Bartolommei.,Ascanio errante,,,,,,,,,,,,,
PoeticWork,Qual Sirena apparì nell'età nostra?,,,Qual Sirena apparì nell'età nostra?,Qual Sirena apparì nell'età nostra?.md,XaM7pE3GrAhr,610147488765400059117,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Qual Sirena apparì nell'età nostra?,,,Qual Sirena apparì nell'età nostra?,Qual Sirena apparì nell'età nostra?.md,XaM7pE3GrAhr,610147488765400059117,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Qual Sirena apparì nell'età nostra?,,,Qual Sirena apparì nell'età nostra?,Qual Sirena apparì nell'età nostra?.md,XaM7pE3GrAhr,610147488765400059117,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,,,
PoeticWork,Qual Sirena apparì nell'età nostra?,,,Qual Sirena apparì nell'età nostra?,Qual Sirena apparì nell'età nostra?.md,XaM7pE3GrAhr,610147488765400059117,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,,
PoeticWork,Qual Sirena apparì nell'età nostra?,,,Qual Sirena apparì nell'età nostra?,Qual Sirena apparì nell'età nostra?.md,XaM7pE3GrAhr,610147488765400059117,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Qual Sirena apparì nell'età nostra?,,,Qual Sirena apparì nell'età nostra?,Qual Sirena apparì nell'età nostra?.md,XaM7pE3GrAhr,610147488765400059117,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Yr3u4S2MtyTC,mermaid,,,
PoeticWork,Qual Sirena apparì nell'età nostra?,,,Qual Sirena apparì nell'età nostra?,Qual Sirena apparì nell'età nostra?.md,XaM7pE3GrAhr,610147488765400059117,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cw9SB9nEpgGt,river,,,
PoeticWork,Qual Sirena apparì nell'età nostra?,,,Qual Sirena apparì nell'età nostra?,Qual Sirena apparì nell'età nostra?.md,XaM7pE3GrAhr,610147488765400059117,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7refGZLnjZsh,swan,,,
