class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publisher,has_version_external_source,has_version_place_of_publication,has_version_publication_date,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,,,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci.md,dxHUbHpEJZ25,741904530296457396630,identifier,https://rism.online/sources/990068341,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,,,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci.md,dxHUbHpEJZ25,741904530296457396630,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV22680010,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,,,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci.md,dxHUbHpEJZ25,741904530296457396630,identifier,https://edit16.iccu.sbn.it/titolo/CNCE045942,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,,,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci.md,dxHUbHpEJZ25,741904530296457396630,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,
NotatedMusic,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,,,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci.md,dxHUbHpEJZ25,741904530296457396630,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,
NotatedMusic,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,,,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci.md,dxHUbHpEJZ25,741904530296457396630,title,,,,,,Di Giaches de Wert l' vndecimo libro de madrigali a cinque voci. Nouamente composto & dato in luce,,,,,,,,,,,,,,
NotatedMusic,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,,,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci.md,dxHUbHpEJZ25,741904530296457396630,inception,,,,,,,1595.0,,,,,,,,,,,,,
NotatedMusic,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,,,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci.md,dxHUbHpEJZ25,741904530296457396630,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE045942,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ah3xiLm7tVeM', 'label': 'Angelo Gardano'}",http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_V/V005/,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1595.0,,,,,,,,
NotatedMusic,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,,,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci.md,dxHUbHpEJZ25,741904530296457396630,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cBJV9SeGc3Sw,Giaches de Wert,,,,,
NotatedMusic,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,,,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci.md,dxHUbHpEJZ25,741904530296457396630,subject,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,,,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci.md,dxHUbHpEJZ25,741904530296457396630,has_part,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,,,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci.md,dxHUbHpEJZ25,741904530296457396630,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mFmEeeyWJZMt,quintus
NotatedMusic,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,,,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci.md,dxHUbHpEJZ25,741904530296457396630,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kSRFAFQb4mfa,bassus
NotatedMusic,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,,,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci,Di Giaches de Wert l'undecimo libro de madrigali a cinque voci.md,dxHUbHpEJZ25,741904530296457396630,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5uHH8y5Q43eU,tenor
