class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value,catalog_identifier_value
Book,Rime di Francesca Turina Bufalini,,,Rime di Francesca Turina Bufalini,Rime di Francesca Turina Bufalini.md,oC7LB4jDGdwf,932269609223558435536,identifier,http://id.sbn.it/bid/UM1E008081,,,,,,,,,,,,,,,
Book,Rime di Francesca Turina Bufalini,,,Rime di Francesca Turina Bufalini,Rime di Francesca Turina Bufalini.md,oC7LB4jDGdwf,932269609223558435536,described_by_source,,,,,,,,,,,,,,,,
Book,Rime di Francesca Turina Bufalini,,,Rime di Francesca Turina Bufalini,Rime di Francesca Turina Bufalini.md,oC7LB4jDGdwf,932269609223558435536,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,
Book,Rime di Francesca Turina Bufalini,,,Rime di Francesca Turina Bufalini,Rime di Francesca Turina Bufalini.md,oC7LB4jDGdwf,932269609223558435536,title,,,,,"Rime di Francesca Turina Bufalini, da Città di Castello. All'illustris. & eccellentis. signora donna Anna Colonna",,,,,,,,,,,
Book,Rime di Francesca Turina Bufalini,,,Rime di Francesca Turina Bufalini,Rime di Francesca Turina Bufalini.md,oC7LB4jDGdwf,932269609223558435536,inception,,,,,,,,,,,,,,,,
Book,Rime di Francesca Turina Bufalini,,,Rime di Francesca Turina Bufalini,Rime di Francesca Turina Bufalini.md,oC7LB4jDGdwf,932269609223558435536,has_version,,,,,,,http://id.sbn.it/bid/UM1E008081,1628.0,https://jmms.iccu.sbn.it/jmms/metadata/VFdGblZHVmpZU0F0SUVsRFExVV8_/b2FpOnd3dy5pbnRlcm5ldGN1bHR1cmFsZS5zYm4uaXQvVGVjYToyMDpOVDAwMDA6TjpVTTFFMDA4MDgx/manifest.json,,,,,,,
Book,Rime di Francesca Turina Bufalini,,,Rime di Francesca Turina Bufalini,Rime di Francesca Turina Bufalini.md,oC7LB4jDGdwf,932269609223558435536,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dg9AQ5n2aC4o,Francesca Turina Bufalini,,,,
Book,Rime di Francesca Turina Bufalini,,,Rime di Francesca Turina Bufalini,Rime di Francesca Turina Bufalini.md,oC7LB4jDGdwf,932269609223558435536,subject,,,,,,,,,,,,,,,,
Book,Rime di Francesca Turina Bufalini,,,Rime di Francesca Turina Bufalini,Rime di Francesca Turina Bufalini.md,oC7LB4jDGdwf,932269609223558435536,has_part,,,,,,,,,,,,,,,,
Book,Rime di Francesca Turina Bufalini,,,Rime di Francesca Turina Bufalini,Rime di Francesca Turina Bufalini.md,oC7LB4jDGdwf,932269609223558435536,based_on,,,,,,,,,,,,,,,,
Book,Rime di Francesca Turina Bufalini,,,Rime di Francesca Turina Bufalini,Rime di Francesca Turina Bufalini.md,oC7LB4jDGdwf,932269609223558435536,catalog_identifier,,,,,,,,,,,,,,,,
