class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,czZkeNyo4Pd6,722096109366063984037,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F055200000101_PPPP00042300C,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,czZkeNyo4Pd6,722096109366063984037,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,czZkeNyo4Pd6,722096109366063984037,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,czZkeNyo4Pd6,722096109366063984037,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mb4nqpu9MxKm,Lodovico Dolce,,,,,,,,,,,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,czZkeNyo4Pd6,722096109366063984037,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U54h5JspdXgD,Giovanni Maria Bonardo,,,,,,,,,,,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,czZkeNyo4Pd6,722096109366063984037,part_of,,,,,,,,,Al Signor Lodovico Domenichi.,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iDJjy4U3Wogz,21.0,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,,,,,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,czZkeNyo4Pd6,722096109366063984037,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,czZkeNyo4Pd6,722096109366063984037,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,czZkeNyo4Pd6,722096109366063984037,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,czZkeNyo4Pd6,722096109366063984037,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/65kk35c5Htpb,humility,,,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,czZkeNyo4Pd6,722096109366063984037,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QKnFCoKHDFvG,ottava rima,,,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,czZkeNyo4Pd6,722096109366063984037,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,czZkeNyo4Pd6,722096109366063984037,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S6k4cZpBdTPw,Lodovico Domenichi,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,czZkeNyo4Pd6,722096109366063984037,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/755zYzGryekA,ingenuity,,,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,czZkeNyo4Pd6,722096109366063984037,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,Mi duol non haver stile,,,Mi duol non haver stile,Mi duol non haver stile.md,czZkeNyo4Pd6,722096109366063984037,text,,,,,,,,,,,,,,,,,,,,,,,,,"Mi duol non haver stile
Uguale a i meriti vostri
DOMENICHI gentile,
Acciò potessi in parte
Così, com'ho il desio
Dirne una qualche parte:
Ma non potendo più vi dono il core,
E vi prego a tener a mente ch'io
Sì come mio maggiore
Vi riverisco, e bramo farvi honore."
