class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publisher,has_version_publication_date,has_version_holding_institution,has_version_external_source,has_version_IIIF_manifest,has_version_place_of_publication,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,96xbXmHReJgL,146246146860952032756,identifier,https://rism.online/sources/990017938,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,96xbXmHReJgL,146246146860952032756,identifier,http://id.sbn.it/bid/MUS0132078,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,96xbXmHReJgL,146246146860952032756,described_by_source,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,96xbXmHReJgL,146246146860952032756,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,,,,,
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,96xbXmHReJgL,146246146860952032756,title,,,,,"Di Giulio Fiesco il primo libro di madrigali a quattro voci, nouamente da lui composti, & da Antonio Gardane con somma diligentia stampati, & dati in luce",,,,,,,,,,,,,,,,
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,96xbXmHReJgL,146246146860952032756,inception,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,96xbXmHReJgL,146246146860952032756,has_version,,,,,,,http://id.sbn.it/bid/MUS0132078,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/btogkstkNfhe', 'label': 'Antonio Gardano'}",1554.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hqjifQ4xf6p6', 'label': 'Munich Digitization Center'}",https://stimmbuecher.digitale-sammlungen.de/view?id=bsb00071908,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00071908/manifest,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",,,,,,,,
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,96xbXmHReJgL,146246146860952032756,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9LEZ2dYU8dsG,Giulio Fiesco,,,,,
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,96xbXmHReJgL,146246146860952032756,subject,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,96xbXmHReJgL,146246146860952032756,has_part,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,96xbXmHReJgL,146246146860952032756,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JQL5yoyTLQcN,bassus
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,96xbXmHReJgL,146246146860952032756,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VzJ68XN6VVsG,tenor
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,96xbXmHReJgL,146246146860952032756,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YpD8xTW34ppx,altus
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,96xbXmHReJgL,146246146860952032756,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/egtVGoqDNy4L,cantus
