class,base_name,filename,label,id,n_id,property,instance_of_value,gender_value,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_source,catalog_identifier_value,identifier_value,described_by_source_value,described_by_source_label
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,mtmLGiiqGNUj,905720509327583812412,instance_of,,,,,,,,,,,,,,,,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,mtmLGiiqGNUj,905720509327583812412,gender,,,,,,,,,,,,,,,,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,mtmLGiiqGNUj,905720509327583812412,work_location,,,,,,,,,,,,,,,,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,mtmLGiiqGNUj,905720509327583812412,member_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mWwsLAHpHDwR,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Accademia dei Gelati di Bologna,,,,,,,,,,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,mtmLGiiqGNUj,905720509327583812412,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/65G5PeyB3GE6,playwright,,,,,,,,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,mtmLGiiqGNUj,905720509327583812412,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,mtmLGiiqGNUj,905720509327583812412,related_to,,,,,,,,,,,,,,,,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,mtmLGiiqGNUj,905720509327583812412,notable_work,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NGrxmrXecZ5w,La distruzione di Gierusalemme,,,,,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,mtmLGiiqGNUj,905720509327583812412,interested_in,,,,,,,,,,,,,,,,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,mtmLGiiqGNUj,905720509327583812412,catalog_identifier,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP', 'label': 'Italian Women Writers'}",5039.0,,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,mtmLGiiqGNUj,905720509327583812412,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q15733674,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,mtmLGiiqGNUj,905720509327583812412,described_by_source,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Zq9ksBtTYP9n,(Nicolaci 2017)
