class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_label,occupation_value,related_to_value,notable_work_value,notable_work_label,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_source,catalog_identifier_value
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,EwfLmXQPbnEx,267055660169560410498,identifier,http://www.wikidata.org/entity/Q22334087,,,,,,,,,,,,,,,,,
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,EwfLmXQPbnEx,267055660169560410498,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,EwfLmXQPbnEx,267055660169560410498,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,EwfLmXQPbnEx,267055660169560410498,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,EwfLmXQPbnEx,267055660169560410498,work_location,,,,,,,,,,,,,,,,,,
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,EwfLmXQPbnEx,267055660169560410498,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SKtDLrjwskaN,Accademia delle Virtù,,,,,,,,,
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,EwfLmXQPbnEx,267055660169560410498,occupation,,,,,,,,,,,,,,,,,,
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,EwfLmXQPbnEx,267055660169560410498,related_to,,,,,,,,,,,,,,,,,,
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,EwfLmXQPbnEx,267055660169560410498,notable_work,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iRu6ruLt7DBZ,Formaggiata di Sere Stentato al serenissimo re della virtude,,,,,
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,EwfLmXQPbnEx,267055660169560410498,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrTwYNz6rjM4,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7VwEEvbhjKZB', 'label': '(Moroncini 2017)'}]",heterodoxy,,
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,EwfLmXQPbnEx,267055660169560410498,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",18094.0
