class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,UFWRuHcPbYCc,541420334568321023854,identifier,,,,,,,,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,UFWRuHcPbYCc,541420334568321023854,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SfgyTf7yVQvQ,"Le nobiltà, et eccellenze delle donne",,,,,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,UFWRuHcPbYCc,541420334568321023854,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,UFWRuHcPbYCc,541420334568321023854,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,UFWRuHcPbYCc,541420334568321023854,work_location,,,,,,,,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,UFWRuHcPbYCc,541420334568321023854,member_of,,,,,,,,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,UFWRuHcPbYCc,541420334568321023854,occupation,,,,,,,,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,UFWRuHcPbYCc,541420334568321023854,related_to,,,,,,,,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,UFWRuHcPbYCc,541420334568321023854,notable_work,,,,,,,,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,UFWRuHcPbYCc,541420334568321023854,interested_in,,,,,,,,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,UFWRuHcPbYCc,541420334568321023854,catalog_identifier,,,,,,,,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,UFWRuHcPbYCc,541420334568321023854,present_in_work,,,,,,,,,,,,,,,
