class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_value,member_role,member_value,member_label,interested_in_value,notable_work_value,notable_work_label
Organisation,Accademia degli Incostanti di Firenze,,,Accademia degli Incostanti di Firenze,Accademia degli Incostanti di Firenze.md,L79T5TEGKMGi,373303617424145326495,identifier,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Incostanti di Firenze,,,Accademia degli Incostanti di Firenze,Accademia degli Incostanti di Firenze.md,L79T5TEGKMGi,373303617424145326495,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7vxisZ6ZVsMK,(Cosentino 2017),,,,,,,,,,,,,,
Organisation,Accademia degli Incostanti di Firenze,,,Accademia degli Incostanti di Firenze,Accademia degli Incostanti di Firenze.md,L79T5TEGKMGi,373303617424145326495,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,
Organisation,Accademia degli Incostanti di Firenze,,,Accademia degli Incostanti di Firenze,Accademia degli Incostanti di Firenze.md,L79T5TEGKMGi,373303617424145326495,inception,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Incostanti di Firenze,,,Accademia degli Incostanti di Firenze,Accademia degli Incostanti di Firenze.md,L79T5TEGKMGi,373303617424145326495,dissolved,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Incostanti di Firenze,,,Accademia degli Incostanti di Firenze,Accademia degli Incostanti di Firenze.md,L79T5TEGKMGi,373303617424145326495,location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW,Firenze,,,,,,,,
Organisation,Accademia degli Incostanti di Firenze,,,Accademia degli Incostanti di Firenze,Accademia degli Incostanti di Firenze.md,L79T5TEGKMGi,373303617424145326495,official_website,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Incostanti di Firenze,,,Accademia degli Incostanti di Firenze,Accademia degli Incostanti di Firenze.md,L79T5TEGKMGi,373303617424145326495,catalog_identifier,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Incostanti di Firenze,,,Accademia degli Incostanti di Firenze,Accademia degli Incostanti di Firenze.md,L79T5TEGKMGi,373303617424145326495,member,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4KLdoEW9rAv', 'label': 'patron of the arts'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jZoTyFnAARjr,Don Giovanni de' Medici,,,
Organisation,Accademia degli Incostanti di Firenze,,,Accademia degli Incostanti di Firenze,Accademia degli Incostanti di Firenze.md,L79T5TEGKMGi,373303617424145326495,interested_in,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Incostanti di Firenze,,,Accademia degli Incostanti di Firenze,Accademia degli Incostanti di Firenze.md,L79T5TEGKMGi,373303617424145326495,notable_work,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QpbiATeDSipS,La finta mora
Organisation,Accademia degli Incostanti di Firenze,,,Accademia degli Incostanti di Firenze,Accademia degli Incostanti di Firenze.md,L79T5TEGKMGi,373303617424145326495,notable_work,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4DMhgmZERe9r,La Fiera commedia di Michelagnolo Buonarruoti il giovane
