class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_note,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_permalink,has_version_IIIF_manifest,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,Rime amorose del conte Pomponio Torelli,,,Rime amorose del conte Pomponio Torelli,Rime amorose del conte Pomponio Torelli.md,LkvgDpxVTCeF,386986131439900126996,identifier,https://edit16.iccu.sbn.it/titolo/CNCE039122,,,,,,,,,,,,,,,,,,
Book,Rime amorose del conte Pomponio Torelli,,,Rime amorose del conte Pomponio Torelli,Rime amorose del conte Pomponio Torelli.md,LkvgDpxVTCeF,386986131439900126996,described_by_source,,,,,,,,,,,,,,,,,,,
Book,Rime amorose del conte Pomponio Torelli,,,Rime amorose del conte Pomponio Torelli,Rime amorose del conte Pomponio Torelli.md,LkvgDpxVTCeF,386986131439900126996,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,
Book,Rime amorose del conte Pomponio Torelli,,,Rime amorose del conte Pomponio Torelli,Rime amorose del conte Pomponio Torelli.md,LkvgDpxVTCeF,386986131439900126996,title,,,,,"Rime amorose del conte Pomponio Torelli detto il Perduto, nell'Academia de gli illustri signori Innominati di Parma",,,,,,,,,,,,,,
Book,Rime amorose del conte Pomponio Torelli,,,Rime amorose del conte Pomponio Torelli,Rime amorose del conte Pomponio Torelli.md,LkvgDpxVTCeF,386986131439900126996,inception,,,,,,1575.0,,,,,,,,,,,,,
Book,Rime amorose del conte Pomponio Torelli,,,Rime amorose del conte Pomponio Torelli,Rime amorose del conte Pomponio Torelli.md,LkvgDpxVTCeF,386986131439900126996,has_version,,,,,,,2nd edition,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QhXTZwxob5AG', 'label': 'Parma'}]",1586.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7WrJEDFusjSa', 'label': 'Seth Viotti'}",https://edit16.iccu.sbn.it/titolo/CNCE060552,https://public-api.prod.os01.ocp.cineca.it/api/v1/apipublic/resource/7195C77696164BEEBBE8FF76CE0A4BBD/manifest/8CD3E271E04A48309E29F1CB51D5F2D0,,,,,,,
Book,Rime amorose del conte Pomponio Torelli,,,Rime amorose del conte Pomponio Torelli,Rime amorose del conte Pomponio Torelli.md,LkvgDpxVTCeF,386986131439900126996,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QhXTZwxob5AG', 'label': 'Parma'}]",1575.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7WrJEDFusjSa', 'label': 'Seth Viotti'}",https://edit16.iccu.sbn.it/titolo/CNCE039122,https://public-api.prod.os01.ocp.cineca.it/api/v1/apipublic/resource/9C4ABA2CE1FD40C88974AF5E4AE7C974/manifest/65CD8DD0A3FE4A00AE6B23AFA6F2BABA,https://books.google.it/books?id=tbALDiLvlKsC,,,,,,
Book,Rime amorose del conte Pomponio Torelli,,,Rime amorose del conte Pomponio Torelli,Rime amorose del conte Pomponio Torelli.md,LkvgDpxVTCeF,386986131439900126996,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AiN5RxqDLXgg,Pomponio Torelli,,,
Book,Rime amorose del conte Pomponio Torelli,,,Rime amorose del conte Pomponio Torelli,Rime amorose del conte Pomponio Torelli.md,LkvgDpxVTCeF,386986131439900126996,subject,,,,,,,,,,,,,,,,,,,
Book,Rime amorose del conte Pomponio Torelli,,,Rime amorose del conte Pomponio Torelli,Rime amorose del conte Pomponio Torelli.md,LkvgDpxVTCeF,386986131439900126996,has_part,,,,,,,,,,,,,,,,,,,
Book,Rime amorose del conte Pomponio Torelli,,,Rime amorose del conte Pomponio Torelli,Rime amorose del conte Pomponio Torelli.md,LkvgDpxVTCeF,386986131439900126996,based_on,,,,,,,,,,,,,,,,,,,
