class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_permalink,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,based_on_label
Book,Rythmomachia,,,Rythmomachia,Rythmomachia.md,Y3ZT8BZwpJhF,619638723229559112148,identifier,https://edit16.iccu.sbn.it/titolo/CNCE004261,,,,,,,,,,,,,,,,,,
Book,Rythmomachia,,,Rythmomachia,Rythmomachia.md,Y3ZT8BZwpJhF,619638723229559112148,described_by_source,,,,,,,,,,,,,,,,,,,
Book,Rythmomachia,,,Rythmomachia,Rythmomachia.md,Y3ZT8BZwpJhF,619638723229559112148,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CfCKH5p6584g,board game,,,,,,,,,,,,,,,
Book,Rythmomachia,,,Rythmomachia,Rythmomachia.md,Y3ZT8BZwpJhF,619638723229559112148,title,,,,,Il Nobilissimo et antiquissimo giuoco Pythagoreo nominato Rythmomachia cioè battaglia de consonantie de numeri,,,,,,,,,,,,,,
Book,Rythmomachia,,,Rythmomachia,Rythmomachia.md,Y3ZT8BZwpJhF,619638723229559112148,inception,,,,,,1572.0,,,,,,,,,,,,,
Book,Rythmomachia,,,Rythmomachia,Rythmomachia.md,Y3ZT8BZwpJhF,619638723229559112148,has_version,,,,,,,1572.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BnsKXBVRVMgq', 'label': 'Grazioso Percacino'}",https://edit16.iccu.sbn.it/titolo/CNCE004261,https://books.google.it/books?id=PQZovyIc70gC,,,,,,,,
Book,Rythmomachia,,,Rythmomachia,Rythmomachia.md,Y3ZT8BZwpJhF,619638723229559112148,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Z9THwZjVZaBR,Francesco Barozzi,,,,,
Book,Rythmomachia,,,Rythmomachia,Rythmomachia.md,Y3ZT8BZwpJhF,619638723229559112148,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JRHGHuFJvBqm,serio ludere,,,
Book,Rythmomachia,,,Rythmomachia,Rythmomachia.md,Y3ZT8BZwpJhF,619638723229559112148,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5YAMSemjNTLA,proportion,,,
Book,Rythmomachia,,,Rythmomachia,Rythmomachia.md,Y3ZT8BZwpJhF,619638723229559112148,has_part,,,,,,,,,,,,,,,,,,,
Book,Rythmomachia,,,Rythmomachia,Rythmomachia.md,Y3ZT8BZwpJhF,619638723229559112148,based_on,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nBSHoo6k6yBs,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora
