class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_permalink,has_version_external_source,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_note,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,gzpHxiKuPzSn,804732008131610417726,identifier,http://id.sbn.it/bid/UBOE035209,,,,,,,,,,,,,,,,,,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,gzpHxiKuPzSn,804732008131610417726,identifier,http://www.bibliotecaitaliana.it/testo/bibit000657,,,,,,,,,,,,,,,,,,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,gzpHxiKuPzSn,804732008131610417726,described_by_source,,,,,,,,,,,,,,,,,,,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,gzpHxiKuPzSn,804732008131610417726,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,gzpHxiKuPzSn,804732008131610417726,title,,,,,La galeria del caualier Marino. Distinta in pitture & sculture,,,,,,,,,,,,,,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,gzpHxiKuPzSn,804732008131610417726,inception,,,,,,1619.0,,,,,,,,,,,,,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,gzpHxiKuPzSn,804732008131610417726,has_version,,,,,,,1630.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mBuz2DVvb28R', 'label': 'Giovanni Battista Ciotti'}",http://id.sbn.it/bid/UBOE035209,https://books.google.be/books?id=cmj518mOFcYC,https://jmms.iccu.sbn.it/jmms/metadata/UW01alpnX18_/b2FpOmJuY2YuZmlyZW56ZS5zYm4uaXQ6MjE6RkkwMDk4Ok1hZ2xpYWJlY2hpOlVCT0UwMzUyMDk_/manifest.json,,,,,,,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,gzpHxiKuPzSn,804732008131610417726,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cAg4ZC7SGWum,"Two paintings by Roncalli are set to poems, respectively 'Pallade che visita le Muse' and 'San Pietro piangente'. ",Cristoforo Roncalli,,,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,gzpHxiKuPzSn,804732008131610417726,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/c6NfMc4aLaby,,Giambattista Marino,,,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,gzpHxiKuPzSn,804732008131610417726,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eRj7U7HDLrGe,visual arts,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,gzpHxiKuPzSn,804732008131610417726,has_part,,,,,,,,,,,,,,,,,,,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,gzpHxiKuPzSn,804732008131610417726,based_on,,,,,,,,,,,,,,,,,,,,
