class,label,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,identifier_value
Concept,painter,painter,painter.md,9EG2tE8aFH7w,148884717856540107731,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Et64EF5pK79G,occupation,,
Concept,painter,painter,painter.md,9EG2tE8aFH7w,148884717856540107731,subclass_of,,,,
Concept,painter,painter,painter.md,9EG2tE8aFH7w,148884717856540107731,identifier,,,,http://www.wikidata.org/entity/Q1028181
