class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,poetic_type_label,depicts_value,depicts_label,metre_value,metre_label,identifier_value,described_by_source_value,described_by_source_label
MusicComposition,Occhi soavi e belli (Agostini),Occhi soavi e belli (Agostini).md,Occhi soavi e belli (Agostini),H9h6xpWmX8Fc,312320991608136565246,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Occhi soavi e belli (Agostini),Occhi soavi e belli (Agostini).md,Occhi soavi e belli (Agostini),H9h6xpWmX8Fc,312320991608136565246,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XtiKQkt7awAq,Lodovico Agostini,,,,,,,,,,,,,,,,,,,
MusicComposition,Occhi soavi e belli (Agostini),Occhi soavi e belli (Agostini).md,Occhi soavi e belli (Agostini),H9h6xpWmX8Fc,312320991608136565246,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/buuMrgamSatG,Musica di don Lodovico Agostini ferrarese libro secondo de madrigali a quattro voci,,,,,,,,,,,,,,,,,
MusicComposition,Occhi soavi e belli (Agostini),Occhi soavi e belli (Agostini).md,Occhi soavi e belli (Agostini),H9h6xpWmX8Fc,312320991608136565246,instrumentation,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Occhi soavi e belli (Agostini),Occhi soavi e belli (Agostini).md,Occhi soavi e belli (Agostini),H9h6xpWmX8Fc,312320991608136565246,based_on,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Occhi soavi e belli (Agostini),Occhi soavi e belli (Agostini).md,Occhi soavi e belli (Agostini),H9h6xpWmX8Fc,312320991608136565246,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Occhi soavi e belli (Agostini),Occhi soavi e belli (Agostini).md,Occhi soavi e belli (Agostini),H9h6xpWmX8Fc,312320991608136565246,text,,,,,,,,,,,"Occhi soavi e belli,
Occhi sereni honesti e leggiadretti,
Hor che di voi son privo
In dolor sempre vivo
Deh occhi amorosetti
Poiché privo di voi sen mor mia vita,
Tornate occhi tornate a darle aita.",,,,,,,,,,,,,
MusicComposition,Occhi soavi e belli (Agostini),Occhi soavi e belli (Agostini).md,Occhi soavi e belli (Agostini),H9h6xpWmX8Fc,312320991608136565246,language,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,,,,,,,,,,,
MusicComposition,Occhi soavi e belli (Agostini),Occhi soavi e belli (Agostini).md,Occhi soavi e belli (Agostini),H9h6xpWmX8Fc,312320991608136565246,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XLktudVaMszu,anaphora,,,,,,,,,
MusicComposition,Occhi soavi e belli (Agostini),Occhi soavi e belli (Agostini).md,Occhi soavi e belli (Agostini),H9h6xpWmX8Fc,312320991608136565246,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
MusicComposition,Occhi soavi e belli (Agostini),Occhi soavi e belli (Agostini).md,Occhi soavi e belli (Agostini),H9h6xpWmX8Fc,312320991608136565246,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/494MWJWBbbLj,eye,,,,,
MusicComposition,Occhi soavi e belli (Agostini),Occhi soavi e belli (Agostini).md,Occhi soavi e belli (Agostini),H9h6xpWmX8Fc,312320991608136565246,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,
MusicComposition,Occhi soavi e belli (Agostini),Occhi soavi e belli (Agostini).md,Occhi soavi e belli (Agostini),H9h6xpWmX8Fc,312320991608136565246,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,
MusicComposition,Occhi soavi e belli (Agostini),Occhi soavi e belli (Agostini).md,Occhi soavi e belli (Agostini),H9h6xpWmX8Fc,312320991608136565246,identifier,,,,,,,,,,,,,,,,,,,,,,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/186310000010101_000000002400C,,
MusicComposition,Occhi soavi e belli (Agostini),Occhi soavi e belli (Agostini).md,Occhi soavi e belli (Agostini),H9h6xpWmX8Fc,312320991608136565246,described_by_source,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM
