class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,based_on_value,catalog_identifier_value,has_part_value,depicts_value,language_value,language_label
Book,Opere toscane di Luigi Alamanni,,,Opere toscane di Luigi Alamanni,Opere toscane di Luigi Alamanni.md,6Cd4Kfc9uF7D,86386491436259625074,identifier,https://edit16.iccu.sbn.it/titolo/CNCE000596,,,,,,,,,,,,,,,,,,,,,
Book,Opere toscane di Luigi Alamanni,,,Opere toscane di Luigi Alamanni,Opere toscane di Luigi Alamanni.md,6Cd4Kfc9uF7D,86386491436259625074,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/LIBX00005982,,,,,,,,,,,,,,,,,,,,,
Book,Opere toscane di Luigi Alamanni,,,Opere toscane di Luigi Alamanni,Opere toscane di Luigi Alamanni.md,6Cd4Kfc9uF7D,86386491436259625074,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,
Book,Opere toscane di Luigi Alamanni,,,Opere toscane di Luigi Alamanni,Opere toscane di Luigi Alamanni.md,6Cd4Kfc9uF7D,86386491436259625074,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,,
Book,Opere toscane di Luigi Alamanni,,,Opere toscane di Luigi Alamanni,Opere toscane di Luigi Alamanni.md,6Cd4Kfc9uF7D,86386491436259625074,title,,,,,,Opere toscane di Luigi Alamanni al christianissimo rè Francesco primo,,,,,,,,,,,,,,,,
Book,Opere toscane di Luigi Alamanni,,,Opere toscane di Luigi Alamanni,Opere toscane di Luigi Alamanni.md,6Cd4Kfc9uF7D,86386491436259625074,inception,,,,,,,1532.0,,,,,,,,,,,,,,,
Book,Opere toscane di Luigi Alamanni,,,Opere toscane di Luigi Alamanni,Opere toscane di Luigi Alamanni.md,6Cd4Kfc9uF7D,86386491436259625074,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE000596,1532.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW', 'label': 'Firenze'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iYTS9qGmP3jb', 'label': 'Bernardo Giunti'}",https://books.google.it/books?id=SHHnHUCVoTwC,,,,,,,,,,
Book,Opere toscane di Luigi Alamanni,,,Opere toscane di Luigi Alamanni,Opere toscane di Luigi Alamanni.md,6Cd4Kfc9uF7D,86386491436259625074,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GfNhWec4EkAr,Luigi Alamanni,,,,,,,
Book,Opere toscane di Luigi Alamanni,,,Opere toscane di Luigi Alamanni,Opere toscane di Luigi Alamanni.md,6Cd4Kfc9uF7D,86386491436259625074,subject,,,,,,,,,,,,,,,,,,,,,,
Book,Opere toscane di Luigi Alamanni,,,Opere toscane di Luigi Alamanni,Opere toscane di Luigi Alamanni.md,6Cd4Kfc9uF7D,86386491436259625074,based_on,,,,,,,,,,,,,,,,,,,,,,
Book,Opere toscane di Luigi Alamanni,,,Opere toscane di Luigi Alamanni,Opere toscane di Luigi Alamanni.md,6Cd4Kfc9uF7D,86386491436259625074,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,
Book,Opere toscane di Luigi Alamanni,,,Opere toscane di Luigi Alamanni,Opere toscane di Luigi Alamanni.md,6Cd4Kfc9uF7D,86386491436259625074,has_part,,,,,,,,,,,,,,,,,,,,,,
Book,Opere toscane di Luigi Alamanni,,,Opere toscane di Luigi Alamanni,Opere toscane di Luigi Alamanni.md,6Cd4Kfc9uF7D,86386491436259625074,depicts,,,,,,,,,,,,,,,,,,,,,,
Book,Opere toscane di Luigi Alamanni,,,Opere toscane di Luigi Alamanni,Opere toscane di Luigi Alamanni.md,6Cd4Kfc9uF7D,86386491436259625074,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
