class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value
Concept,academy,,,academy,academy.md,TuhZnsrVW6Mf,534612446275688979754,identifier,http://www.wikidata.org/entity/Q162633,
Concept,academy,,,academy,academy.md,TuhZnsrVW6Mf,534612446275688979754,described_by_source,,
