class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label
Concept,pseudonym,,,pseudonym,pseudonym.md,SgivCjPBTBJX,509278737790638748778,identifier,http://www.wikidata.org/entity/Q61002,,
Concept,pseudonym,,,pseudonym,pseudonym.md,SgivCjPBTBJX,509278737790638748778,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/L2FyhVSPZ7e4,(Brown 2020)
