class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_note,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,catalog_identifier_value
Book,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,,,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile.md,YYFRNeCKx9AL,630023168949852703074,identifier,http://id.sbn.it/bid/UM1E012216,,,,,,,,,,,,,,,,,,,,
Book,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,,,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile.md,YYFRNeCKx9AL,630023168949852703074,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2F501650010,,,,,,,,,,,,,,,,,,,,
Book,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,,,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile.md,YYFRNeCKx9AL,630023168949852703074,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,
Book,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,,,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile.md,YYFRNeCKx9AL,630023168949852703074,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,
Book,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,,,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile.md,YYFRNeCKx9AL,630023168949852703074,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DRgiAyYDLPZb,drama collection,,,,,,,,,,,,,,,,
Book,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,,,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile.md,YYFRNeCKx9AL,630023168949852703074,title,,,,,,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile. Parte [prima]-seconda,,,,,,,,,,,,,,,
Book,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,,,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile.md,YYFRNeCKx9AL,630023168949852703074,inception,,,,,,,1605.0,,,,,,,,,,,,,,
Book,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,,,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile.md,YYFRNeCKx9AL,630023168949852703074,has_version,,,,,,,,https://www.google.be/books/edition/Della_corona_di_Apollo_composta_del_piu/BxFJAAAAcAAJ,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1610.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZE6VZDoef66Y', 'label': 'Sebastiano Combi'}",Volume 1,,,,,,,,,
Book,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,,,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile.md,YYFRNeCKx9AL,630023168949852703074,has_version,,,,,,,,https://books.google.it/books?id=UW70o2UQOUwC,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1610.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZE6VZDoef66Y', 'label': 'Sebastiano Combi'}",,,,,,,,,,
Book,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,,,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile.md,YYFRNeCKx9AL,630023168949852703074,has_version,,,,,,,,https://books.google.it/books?id=j0JeDQd826AC,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1605.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZE6VZDoef66Y', 'label': 'Sebastiano Combi'}",volume 2,http://id.sbn.it/bid/UM1E012216,,,,,,,,
