class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publication_date,has_version_external_source,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,Le immagini del tempio della signora donna Giovanna Aragona,(Fictional) dialogues from academic gatherings of salonnière Giovanna d'Aragona.,"[""Le insegne del tempio della signora donna Giovanna d'Aragona""]",Le immagini del tempio della signora donna Giovanna Aragona,Le immagini del tempio della signora donna Giovanna Aragona.md,47MpmNgNPcHy,43207854731350078654,identifier,https://edit16.iccu.sbn.it/titolo/CNCE005675,,,,,,,,,,,,,,,,,,
Book,Le immagini del tempio della signora donna Giovanna Aragona,(Fictional) dialogues from academic gatherings of salonnière Giovanna d'Aragona.,"[""Le insegne del tempio della signora donna Giovanna d'Aragona""]",Le immagini del tempio della signora donna Giovanna Aragona,Le immagini del tempio della signora donna Giovanna Aragona.md,47MpmNgNPcHy,43207854731350078654,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJam8o3efkSd,(Faini 2020),,,,,,,,,,,,,,,,
Book,Le immagini del tempio della signora donna Giovanna Aragona,(Fictional) dialogues from academic gatherings of salonnière Giovanna d'Aragona.,"[""Le insegne del tempio della signora donna Giovanna d'Aragona""]",Le immagini del tempio della signora donna Giovanna Aragona,Le immagini del tempio della signora donna Giovanna Aragona.md,47MpmNgNPcHy,43207854731350078654,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,
Book,Le immagini del tempio della signora donna Giovanna Aragona,(Fictional) dialogues from academic gatherings of salonnière Giovanna d'Aragona.,"[""Le insegne del tempio della signora donna Giovanna d'Aragona""]",Le immagini del tempio della signora donna Giovanna Aragona,Le immagini del tempio della signora donna Giovanna Aragona.md,47MpmNgNPcHy,43207854731350078654,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BgmxnNpBupRa,dialogue,,,,,,,,,,,,,,
Book,Le immagini del tempio della signora donna Giovanna Aragona,(Fictional) dialogues from academic gatherings of salonnière Giovanna d'Aragona.,"[""Le insegne del tempio della signora donna Giovanna d'Aragona""]",Le immagini del tempio della signora donna Giovanna Aragona,Le immagini del tempio della signora donna Giovanna Aragona.md,47MpmNgNPcHy,43207854731350078654,title,,,,,,"Le imagini del tempio della signora donna Giouanna Aragona, dialogo di m. Giuseppe Betussi",,,,,,,,,,,,,
Book,Le immagini del tempio della signora donna Giovanna Aragona,(Fictional) dialogues from academic gatherings of salonnière Giovanna d'Aragona.,"[""Le insegne del tempio della signora donna Giovanna d'Aragona""]",Le immagini del tempio della signora donna Giovanna Aragona,Le immagini del tempio della signora donna Giovanna Aragona.md,47MpmNgNPcHy,43207854731350078654,inception,,,,,,,1557.0,,,,,,,,,,,,
Book,Le immagini del tempio della signora donna Giovanna Aragona,(Fictional) dialogues from academic gatherings of salonnière Giovanna d'Aragona.,"[""Le insegne del tempio della signora donna Giovanna d'Aragona""]",Le immagini del tempio della signora donna Giovanna Aragona,Le immagini del tempio della signora donna Giovanna Aragona.md,47MpmNgNPcHy,43207854731350078654,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE005675,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1557.0,https://bdt.bibcom.trento.it/Testi-a-stampa/16076,https://dl.unito.it/fedora/objects/mag:956/datastreams/MMIIIF/content,,,,,,,
Book,Le immagini del tempio della signora donna Giovanna Aragona,(Fictional) dialogues from academic gatherings of salonnière Giovanna d'Aragona.,"[""Le insegne del tempio della signora donna Giovanna d'Aragona""]",Le immagini del tempio della signora donna Giovanna Aragona,Le immagini del tempio della signora donna Giovanna Aragona.md,47MpmNgNPcHy,43207854731350078654,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cZCQX49qGcQ2,Luca Contile,,,,
Book,Le immagini del tempio della signora donna Giovanna Aragona,(Fictional) dialogues from academic gatherings of salonnière Giovanna d'Aragona.,"[""Le insegne del tempio della signora donna Giovanna d'Aragona""]",Le immagini del tempio della signora donna Giovanna Aragona,Le immagini del tempio della signora donna Giovanna Aragona.md,47MpmNgNPcHy,43207854731350078654,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YJP9QUN4Mbfw,Vittoria Colonna,,,,
Book,Le immagini del tempio della signora donna Giovanna Aragona,(Fictional) dialogues from academic gatherings of salonnière Giovanna d'Aragona.,"[""Le insegne del tempio della signora donna Giovanna d'Aragona""]",Le immagini del tempio della signora donna Giovanna Aragona,Le immagini del tempio della signora donna Giovanna Aragona.md,47MpmNgNPcHy,43207854731350078654,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9mUm66UReTNd,Giuseppe Betussi,,,,
