class,base_name,filename,label,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Giulio Cesare Brancaccio,Giulio Cesare Brancaccio.md,Giulio Cesare Brancaccio,9CY2hG2Wtedw,148262253145987485254,identifier,http://www.wikidata.org/entity/Q3769560,,,,,,,,,,,,,,,,,
Agent,Giulio Cesare Brancaccio,Giulio Cesare Brancaccio.md,Giulio Cesare Brancaccio,9CY2hG2Wtedw,148262253145987485254,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dhk3uJ5im3EE,(Wistreich 2016),,,,,,,,,,,,,,,
Agent,Giulio Cesare Brancaccio,Giulio Cesare Brancaccio.md,Giulio Cesare Brancaccio,9CY2hG2Wtedw,148262253145987485254,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Giulio Cesare Brancaccio,Giulio Cesare Brancaccio.md,Giulio Cesare Brancaccio,9CY2hG2Wtedw,148262253145987485254,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Giulio Cesare Brancaccio,Giulio Cesare Brancaccio.md,Giulio Cesare Brancaccio,9CY2hG2Wtedw,148262253145987485254,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo,Ferrara,,,,,,,,,
Agent,Giulio Cesare Brancaccio,Giulio Cesare Brancaccio.md,Giulio Cesare Brancaccio,9CY2hG2Wtedw,148262253145987485254,member_of,,,,,,,,,,,,,,,,,,
Agent,Giulio Cesare Brancaccio,Giulio Cesare Brancaccio.md,Giulio Cesare Brancaccio,9CY2hG2Wtedw,148262253145987485254,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bRregcw3FA5L,singer,,,,,,
Agent,Giulio Cesare Brancaccio,Giulio Cesare Brancaccio.md,Giulio Cesare Brancaccio,9CY2hG2Wtedw,148262253145987485254,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JD38F6WZ6Bni,condottiero,,,,,,
Agent,Giulio Cesare Brancaccio,Giulio Cesare Brancaccio.md,Giulio Cesare Brancaccio,9CY2hG2Wtedw,148262253145987485254,related_to,,,,,,,,,,,,,,,,,,
Agent,Giulio Cesare Brancaccio,Giulio Cesare Brancaccio.md,Giulio Cesare Brancaccio,9CY2hG2Wtedw,148262253145987485254,notable_work,,,,,,,,,,,,,,,,,,
Agent,Giulio Cesare Brancaccio,Giulio Cesare Brancaccio.md,Giulio Cesare Brancaccio,9CY2hG2Wtedw,148262253145987485254,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/86Q2aWNHHazc,duel,,
Agent,Giulio Cesare Brancaccio,Giulio Cesare Brancaccio.md,Giulio Cesare Brancaccio,9CY2hG2Wtedw,148262253145987485254,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Y98hqupshSSh,quarrel of arms and letters,,
Agent,Giulio Cesare Brancaccio,Giulio Cesare Brancaccio.md,Giulio Cesare Brancaccio,9CY2hG2Wtedw,148262253145987485254,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Giulio Cesare Brancaccio,Giulio Cesare Brancaccio.md,Giulio Cesare Brancaccio,9CY2hG2Wtedw,148262253145987485254,present_in_work,,,,,,,,,,,,,,,,,,
