class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_value,member_role,member_value,member_label,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,concerto delle donne,,['concerto delle donne di Ferrara'],concerto delle donne,concerto delle donne.md,UzQfEGr8A7ej,556951142790396568679,identifier,http://www.wikidata.org/entity/Q579283,,,,,,,,,,,,,,,,
Organisation,concerto delle donne,,['concerto delle donne di Ferrara'],concerto delle donne,concerto delle donne.md,UzQfEGr8A7ej,556951142790396568679,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RMrG5qDMi6DF,(Stras 2018),,,,,,,,,,,,,,
Organisation,concerto delle donne,,['concerto delle donne di Ferrara'],concerto delle donne,concerto delle donne.md,UzQfEGr8A7ej,556951142790396568679,instance_of,,,,,,,,,,,,,,,,,
Organisation,concerto delle donne,,['concerto delle donne di Ferrara'],concerto delle donne,concerto delle donne.md,UzQfEGr8A7ej,556951142790396568679,inception,,,,,,,,,,,,,,,,,
Organisation,concerto delle donne,,['concerto delle donne di Ferrara'],concerto delle donne,concerto delle donne.md,UzQfEGr8A7ej,556951142790396568679,dissolved,,,,,,,,,,,,,,,,,
Organisation,concerto delle donne,,['concerto delle donne di Ferrara'],concerto delle donne,concerto delle donne.md,UzQfEGr8A7ej,556951142790396568679,location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ut5gfQdSP4WR,Ferrara,,,,,,,,,
Organisation,concerto delle donne,,['concerto delle donne di Ferrara'],concerto delle donne,concerto delle donne.md,UzQfEGr8A7ej,556951142790396568679,official_website,,,,,,,,,,,,,,,,,
Organisation,concerto delle donne,,['concerto delle donne di Ferrara'],concerto delle donne,concerto delle donne.md,UzQfEGr8A7ej,556951142790396568679,catalog_identifier,,,,,,,,,,,,,,,,,
Organisation,concerto delle donne,,['concerto delle donne di Ferrara'],concerto delle donne,concerto delle donne.md,UzQfEGr8A7ej,556951142790396568679,member,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/84quSACff9vM', 'label': 'patron of the arts'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jJ96rJ2QKjkz,Margherita Gonzaga,,,,
Organisation,concerto delle donne,,['concerto delle donne di Ferrara'],concerto delle donne,concerto delle donne.md,UzQfEGr8A7ej,556951142790396568679,member,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eQyeBuP32NDJ,Laura Peverara,,,,
Organisation,concerto delle donne,,['concerto delle donne di Ferrara'],concerto delle donne,concerto delle donne.md,UzQfEGr8A7ej,556951142790396568679,member,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/er6KNKXLyHaP', 'label': 'teacher'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oVgX4nooPy2A,Tarquinia Molza,,,,
Organisation,concerto delle donne,,['concerto delle donne di Ferrara'],concerto delle donne,concerto delle donne.md,UzQfEGr8A7ej,556951142790396568679,interested_in,,,,,,,,,,,,,,,,,
Organisation,concerto delle donne,,['concerto delle donne di Ferrara'],concerto delle donne,concerto delle donne.md,UzQfEGr8A7ej,556951142790396568679,notable_work,,,,,,,,,,,,,,,,,
Organisation,concerto delle donne,,['concerto delle donne di Ferrara'],concerto delle donne,concerto delle donne.md,UzQfEGr8A7ej,556951142790396568679,related_to,,,,,,,,,,,,,,,,,
Organisation,concerto delle donne,,['concerto delle donne di Ferrara'],concerto delle donne,concerto delle donne.md,UzQfEGr8A7ej,556951142790396568679,motto,,,,,,,,,,,,,,,,,
