class,base_name,filename,label,id,n_id,property,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_note,has_version_permalink,has_version_holding_institution,has_version_external_source,has_version_IIIF_manifest,has_version_place_of_publication,has_version_publisher,has_version_publication_date,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,depicts_label,language_value,language_label
Book,La Florinda tragedia di Gio. Battista Andreini comico Fedele,La Florinda tragedia di Gio. Battista Andreini comico Fedele.md,La Florinda tragedia di Gio. Battista Andreini comico Fedele,c7LBCneCWNWM,703546113278140954789,described_by_source,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011),,,,,,,,,,,,,,,,,,,,,,,,
Book,La Florinda tragedia di Gio. Battista Andreini comico Fedele,La Florinda tragedia di Gio. Battista Andreini comico Fedele.md,La Florinda tragedia di Gio. Battista Andreini comico Fedele,c7LBCneCWNWM,703546113278140954789,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TxUhBPCn3SQb,drama,,,,,,,,,,,,,,,,,,,,,,
Book,La Florinda tragedia di Gio. Battista Andreini comico Fedele,La Florinda tragedia di Gio. Battista Andreini comico Fedele.md,La Florinda tragedia di Gio. Battista Andreini comico Fedele,c7LBCneCWNWM,703546113278140954789,title,,,,,"La Florinda tragedia di Gio. Battista Andreini comico Fedele. All'illustriss.mo & eccellentiss.mo sig.re, d. Pietro Enrichez de Azevedo, conte di Fuentes",,,,,,,,,,,,,,,,,,,,,
Book,La Florinda tragedia di Gio. Battista Andreini comico Fedele,La Florinda tragedia di Gio. Battista Andreini comico Fedele.md,La Florinda tragedia di Gio. Battista Andreini comico Fedele,c7LBCneCWNWM,703546113278140954789,inception,,,,,,1606.0,,,,,,,,,,,,,,,,,,,,
Book,La Florinda tragedia di Gio. Battista Andreini comico Fedele,La Florinda tragedia di Gio. Battista Andreini comico Fedele.md,La Florinda tragedia di Gio. Battista Andreini comico Fedele,c7LBCneCWNWM,703546113278140954789,has_version,,,,,,,Manuscript,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc101819,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S8XWwiEFCvS3', 'label': 'Bibliothèque nationale de France'}",https://gallica.bnf.fr/ark:/12148/btv1b100343863,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100343863/manifest.json,,,,,,,,,,,,,,,
Book,La Florinda tragedia di Gio. Battista Andreini comico Fedele,La Florinda tragedia di Gio. Battista Andreini comico Fedele.md,La Florinda tragedia di Gio. Battista Andreini comico Fedele,c7LBCneCWNWM,703546113278140954789,has_version,,,,,,,,http://id.sbn.it/bid/BVEE025465,,https://books.google.be/books?id=syrkW5qLdloC,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gLeh7vn7FH8w', 'label': 'Milano'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4XfyGZs6iYqV', 'label': 'Girolamo Bordone'}",1606.0,,,,,,,,,,,,
Book,La Florinda tragedia di Gio. Battista Andreini comico Fedele,La Florinda tragedia di Gio. Battista Andreini comico Fedele.md,La Florinda tragedia di Gio. Battista Andreini comico Fedele,c7LBCneCWNWM,703546113278140954789,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cS2ZRx7FP2Cu,Giambattista Andreini,,,,,,,,,
Book,La Florinda tragedia di Gio. Battista Andreini comico Fedele,La Florinda tragedia di Gio. Battista Andreini comico Fedele.md,La Florinda tragedia di Gio. Battista Andreini comico Fedele,c7LBCneCWNWM,703546113278140954789,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,,,,,,
Book,La Florinda tragedia di Gio. Battista Andreini comico Fedele,La Florinda tragedia di Gio. Battista Andreini comico Fedele.md,La Florinda tragedia di Gio. Battista Andreini comico Fedele,c7LBCneCWNWM,703546113278140954789,based_on,,,,,,,,,,,,,,,,,,,,,,,,,,
Book,La Florinda tragedia di Gio. Battista Andreini comico Fedele,La Florinda tragedia di Gio. Battista Andreini comico Fedele.md,La Florinda tragedia di Gio. Battista Andreini comico Fedele,c7LBCneCWNWM,703546113278140954789,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,,,,,
Book,La Florinda tragedia di Gio. Battista Andreini comico Fedele,La Florinda tragedia di Gio. Battista Andreini comico Fedele.md,La Florinda tragedia di Gio. Battista Andreini comico Fedele,c7LBCneCWNWM,703546113278140954789,has_part,,,,,,,,,,,,,,,,,,,,,,,,,,
Book,La Florinda tragedia di Gio. Battista Andreini comico Fedele,La Florinda tragedia di Gio. Battista Andreini comico Fedele.md,La Florinda tragedia di Gio. Battista Andreini comico Fedele,c7LBCneCWNWM,703546113278140954789,depicts,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fichLUAEWcmA,Virginia Ramponi-Andreini,,
Book,La Florinda tragedia di Gio. Battista Andreini comico Fedele,La Florinda tragedia di Gio. Battista Andreini comico Fedele.md,La Florinda tragedia di Gio. Battista Andreini comico Fedele,c7LBCneCWNWM,703546113278140954789,language,,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
