class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_volume,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Dunque può star con barbara fierezza,,,Dunque può star con barbara fierezza,Dunque può star con barbara fierezza.md,bqyY3KScAhEb,698352938883884030037,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/034380000101_PPPP00148700C,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dunque può star con barbara fierezza,,,Dunque può star con barbara fierezza,Dunque può star con barbara fierezza.md,bqyY3KScAhEb,698352938883884030037,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dunque può star con barbara fierezza,,,Dunque può star con barbara fierezza,Dunque può star con barbara fierezza.md,bqyY3KScAhEb,698352938883884030037,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dunque può star con barbara fierezza,,,Dunque può star con barbara fierezza,Dunque può star con barbara fierezza.md,bqyY3KScAhEb,698352938883884030037,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eDLkvXHFMYdu,Battista Guarini,,,,,,,,,,,,,,,,,,
PoeticWork,Dunque può star con barbara fierezza,,,Dunque può star con barbara fierezza,Dunque può star con barbara fierezza.md,bqyY3KScAhEb,698352938883884030037,part_of,,,,,,,,,All'Illustriss. Signora Donna Roberta Caraffa Lopez.,41.0,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MW7UE9R8m7LS,Il Gareggiamento poetico del Confuso Accademico Ordito,,,,,,,,,,,,,
PoeticWork,Dunque può star con barbara fierezza,,,Dunque può star con barbara fierezza,Dunque può star con barbara fierezza.md,bqyY3KScAhEb,698352938883884030037,based_on,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dunque può star con barbara fierezza,,,Dunque può star con barbara fierezza,Dunque può star con barbara fierezza.md,bqyY3KScAhEb,698352938883884030037,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dunque può star con barbara fierezza,,,Dunque può star con barbara fierezza,Dunque può star con barbara fierezza.md,bqyY3KScAhEb,698352938883884030037,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MFkDrmE7jx9f,oxymoron,,,,,,,,,
PoeticWork,Dunque può star con barbara fierezza,,,Dunque può star con barbara fierezza,Dunque può star con barbara fierezza.md,bqyY3KScAhEb,698352938883884030037,poetic_type,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,,
PoeticWork,Dunque può star con barbara fierezza,,,Dunque può star con barbara fierezza,Dunque può star con barbara fierezza.md,bqyY3KScAhEb,698352938883884030037,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,,,
PoeticWork,Dunque può star con barbara fierezza,,,Dunque può star con barbara fierezza,Dunque può star con barbara fierezza.md,bqyY3KScAhEb,698352938883884030037,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Dunque può star con barbara fierezza,,,Dunque può star con barbara fierezza,Dunque può star con barbara fierezza.md,bqyY3KScAhEb,698352938883884030037,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Af5NyLo5WJPc,woman,,,
PoeticWork,Dunque può star con barbara fierezza,,,Dunque può star con barbara fierezza,Dunque può star con barbara fierezza.md,bqyY3KScAhEb,698352938883884030037,language,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,Dunque può star con barbara fierezza,,,Dunque può star con barbara fierezza,Dunque può star con barbara fierezza.md,bqyY3KScAhEb,698352938883884030037,text,,,,,,,,,,,,,,,,,,,,,,,,,,"Dunque può star con barbara fierezza
Angelica bellezza?
Dunque di sì bel viso
Barbaro è'l paradiso?
Barbara quella man quella favella
Così soave, e bella
BARBARA a torto il mondo hoggi vi chiama
Barbaro è chi non v'ama."
