class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value,catalog_identifier_value
Book,La Dori favola pastorale,,,La Dori favola pastorale,La Dori favola pastorale.md,TjXaYpW6kD3F,530928682286995077478,identifier,http://id.sbn.it/bid/CFIE047254,,,,,,,,,,,,,,
Book,La Dori favola pastorale,,,La Dori favola pastorale,La Dori favola pastorale.md,TjXaYpW6kD3F,530928682286995077478,described_by_source,,,,,,,,,,,,,,,
Book,La Dori favola pastorale,,,La Dori favola pastorale,La Dori favola pastorale.md,TjXaYpW6kD3F,530928682286995077478,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WjkwkY3qDEUr,pastoral drama,,,,,,,,,,,
Book,La Dori favola pastorale,,,La Dori favola pastorale,La Dori favola pastorale.md,TjXaYpW6kD3F,530928682286995077478,title,,,,,La Dori fauola pastorale della sig.ra Isabetta Coreglia lucchese,,,,,,,,,,
Book,La Dori favola pastorale,,,La Dori favola pastorale,La Dori favola pastorale.md,TjXaYpW6kD3F,530928682286995077478,inception,,,,,,,,,,,,,,,
Book,La Dori favola pastorale,,,La Dori favola pastorale,La Dori favola pastorale.md,TjXaYpW6kD3F,530928682286995077478,has_version,,,,,,,http://id.sbn.it/bid/CFIE047254,1634.0,,,,,,,
Book,La Dori favola pastorale,,,La Dori favola pastorale,La Dori favola pastorale.md,TjXaYpW6kD3F,530928682286995077478,contributor,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Y2PxbveLJoEy,Isabetta Coreglia,,,,
Book,La Dori favola pastorale,,,La Dori favola pastorale,La Dori favola pastorale.md,TjXaYpW6kD3F,530928682286995077478,subject,,,,,,,,,,,,,,,
Book,La Dori favola pastorale,,,La Dori favola pastorale,La Dori favola pastorale.md,TjXaYpW6kD3F,530928682286995077478,has_part,,,,,,,,,,,,,,,
Book,La Dori favola pastorale,,,La Dori favola pastorale,La Dori favola pastorale.md,TjXaYpW6kD3F,530928682286995077478,based_on,,,,,,,,,,,,,,,
Book,La Dori favola pastorale,,,La Dori favola pastorale,La Dori favola pastorale.md,TjXaYpW6kD3F,530928682286995077478,catalog_identifier,,,,,,,,,,,,,,,
